CDM project reference number,Completion Date,Status,Total,HostParty,Issuance process ID,tots
571,2022-06-10,Cancelled,42552,IN,COMBINEDCANCELLED-571,42551
584,2017-10-30,Cancelled,8029,KR,COMBINEDCANCELLED-584,8028
604,2023-08-24,Cancelled,42000,GT,COMBINEDCANCELLED-604,1543208
606,2021-02-03,Cancelled,73261,GT,COMBINEDCANCELLED-606,2696303
648,2022-04-20,Cancelled,48472,BR,COMBINEDCANCELLED-648,52017431
675,2023-04-27,Cancelled,55290,NI,COMBINEDCANCELLED-675,55289
693,2018-12-19,Cancelled,220172,BR,COMBINEDCANCELLED-693,220171
697,2021-12-01,Cancelled,10712,IN,COMBINEDCANCELLED-697,10711
707,2018-03-27,Cancelled,1477,IN,COMBINEDCANCELLED-707,15248413
708,2019-09-11,Cancelled,361174,PE,COMBINEDCANCELLED-708,361173
735,2019-09-19,Cancelled,550000,CO,COMBINEDCANCELLED-735,5645926
743,2017-06-08,Cancelled,138774,IN,COMBINEDCANCELLED-743,31724971
750,2022-01-31,Cancelled,21233,IN,COMBINEDCANCELLED-750,42792541
752,2020-11-23,Cancelled,379418,ZA,COMBINEDCANCELLED-752,5770043
765,2021-04-15,Cancelled,7356007,KR,COMBINEDCANCELLED-765,65547632
773,2020-06-08,Cancelled,21146,BR,COMBINEDCANCELLED-773,21145
775,2020-06-04,Cancelled,3489,UG,COMBINEDCANCELLED-775,6459422
776,2018-08-31,Cancelled,32570,IN,COMBINEDCANCELLED-776,14755935
784,2019-08-21,Cancelled,7276,KR,COMBINEDCANCELLED-784,7275
788,2015-12-29,Cancelled,63688,KR,COMBINEDCANCELLED-788,63687
795,2017-01-19,Cancelled,80220,ZA,COMBINEDCANCELLED-795,80219
801,2017-10-30,Cancelled,3986,KR,COMBINEDCANCELLED-801,3985
806,2021-12-14,Cancelled,170,IN,COMBINEDCANCELLED-806,169
809,2019-02-08,Cancelled,29760,BR,COMBINEDCANCELLED-809,29759
810,2023-04-13,Cancelled,1398,IN,COMBINEDCANCELLED-810,1397
