CDM project reference number,Completion Date,Status,Total,HostParty,Issuance process ID,tots
3493,2018-10-16,Cancelled,9749,IN,COMBINEDCANCELLED-3493,9748
3501,2022-10-20,Cancelled,20593,EG,COMBINEDCANCELLED-3501,20592
3509,2023-02-06,Cancelled,9315,IN,COMBINEDCANCELLED-3509,9314
3520,2021-09-20,Cancelled,20552,CN,COMBINEDCANCELLED-3520,20551
3531,2023-03-17,Cancelled,64525,LK,COMBINEDCANCELLED-3531,1009529
3533,2022-11-10,Cancelled,10982,IN,COMBINEDCANCELLED-3533,47248543
3541,2016-01-15,Cancelled,5922,IN,COMBINEDCANCELLED-3541,5921
3550,2021-10-01,Cancelled,21910,IN,COMBINEDCANCELLED-3550,21909
3558,2021-01-14,Cancelled,86787,MG,COMBINEDCANCELLED-3558,346483
3561,2019-09-20,Cancelled,20594,CN,COMBINEDCANCELLED-3561,20593
3568,2023-01-18,Cancelled,122343,IN,COMBINEDCANCELLED-3568,120613444
3570,2019-09-05,Cancelled,117042,CO,COMBINEDCANCELLED-3570,119311
3586,2023-08-04,Cancelled,4330,IN,COMBINEDCANCELLED-3586,9404
3599,2019-09-05,Cancelled,73378,CO,COMBINEDCANCELLED-3599,73377
3611,2022-12-21,Cancelled,29977,IN,COMBINEDCANCELLED-3611,29976
3632,2019-07-01,Cancelled,22407,IN,COMBINEDCANCELLED-3632,22406
3649,2020-12-01,Cancelled,31379,KR,COMBINEDCANCELLED-3649,31378
3653,2018-01-12,Cancelled,2652,NP,COMBINEDCANCELLED-3653,463459
3660,2021-06-02,Cancelled,10058,CN,COMBINEDCANCELLED-3660,80057
3700,2021-10-01,Cancelled,120833,IN,COMBINEDCANCELLED-3700,62552125
3724,2018-09-04,Cancelled,31108,IN,COMBINEDCANCELLED-3724,34781776
3742,2017-04-19,Cancelled,26740,IN,COMBINEDCANCELLED-3742,28549885
3773,2023-04-12,Cancelled,17952,KE,COMBINEDCANCELLED-3773,2821154
3779,2021-09-17,Cancelled,39590,IN,COMBINEDCANCELLED-3779,31260015
3797,2023-08-23,Cancelled,113722,CN,COMBINEDCANCELLED-3797,712783
3804,2023-02-07,Cancelled,87913,CN,COMBINEDCANCELLED-3804,87912
3815,2021-11-08,Cancelled,26100,IN,COMBINEDCANCELLED-3815,26488
3816,2023-08-16,Cancelled,130022,CO,COMBINEDCANCELLED-3816,7613820
3827,2020-03-12,Cancelled,930,KR,COMBINEDCANCELLED-3827,929
3839,2019-10-09,Cancelled,34730,IN,COMBINEDCANCELLED-3839,34729
3854,2020-11-26,Cancelled,112195,IN,COMBINEDCANCELLED-3854,59490340
3858,2022-03-02,Cancelled,40054,VN,COMBINEDCANCELLED-3858,42749
3862,2017-01-11,Cancelled,129291,CN,COMBINEDCANCELLED-3862,129290
3870,2022-10-27,Cancelled,602815,IN,COMBINEDCANCELLED-3870,602814
3874,2017-04-06,Cancelled,11408,KR,COMBINEDCANCELLED-3874,11407
3880,2022-12-16,Cancelled,38244,IN,COMBINEDCANCELLED-3880,37502977
3887,2017-03-17,Cancelled,17859,BR,COMBINEDCANCELLED-3887,17858
3926,2018-07-25,Cancelled,23808,IN,COMBINEDCANCELLED-3926,23807
3937,2023-04-24,Cancelled,88630,CN,COMBINEDCANCELLED-3937,397010507
3958,2021-09-27,Cancelled,352735,BR,COMBINEDCANCELLED-3958,352734
3970,2019-07-18,Cancelled,25000,NI,COMBINEDCANCELLED-3970,2147042
3973,2022-09-30,Cancelled,7350,IN,COMBINEDCANCELLED-3973,7349
4052,2016-01-04,Cancelled,17,CL,COMBINEDCANCELLED-4052,16
4058,2016-04-26,Cancelled,5511,IN,COMBINEDCANCELLED-4058,5510
4078,2017-09-06,Cancelled,15250,IN,COMBINEDCANCELLED-4078,15249
4127,2019-07-09,Cancelled,442819,AR,COMBINEDCANCELLED-4127,1671133
4138,2017-02-09,Cancelled,274968,CN,COMBINEDCANCELLED-4138,274967
4140,2023-06-29,Cancelled,164984,CN,COMBINEDCANCELLED-4140,164983
4144,2021-09-21,Cancelled,317160,IN,COMBINEDCANCELLED-4144,317159
4150,2022-01-06,Cancelled,831812,CN,COMBINEDCANCELLED-4150,306572072
4165,2022-07-28,Cancelled,21573,CN,COMBINEDCANCELLED-4165,21572
4174,2020-04-14,Cancelled,13874,IN,COMBINEDCANCELLED-4174,47690969
4176,2020-09-25,Cancelled,2875,CD,COMBINEDCANCELLED-4176,2874
4210,2018-04-16,Cancelled,22152,VN,COMBINEDCANCELLED-4210,22151
4211,2017-05-10,Cancelled,101210,BR,COMBINEDCANCELLED-4211,20460413
4219,2023-01-27,Cancelled,34806,TH,COMBINEDCANCELLED-4219,34805
4229,2023-07-11,Cancelled,181816,CL,COMBINEDCANCELLED-4229,1568989
4243,2022-11-24,Cancelled,231,IN,COMBINEDCANCELLED-4243,230
4249,2019-10-24,Cancelled,28921,IN,COMBINEDCANCELLED-4249,28920
4274,2021-12-01,Cancelled,1226759,KR,COMBINEDCANCELLED-4274,66762908
4294,2022-11-08,Cancelled,301387,KR,COMBINEDCANCELLED-4294,50323132
4295,2013-03-15,Cancelled,2500,CN,COMBINEDCANCELLED-4295,2499
4309,2023-08-30,Cancelled,32008,IN,COMBINEDCANCELLED-4309,200127
4317,2021-10-03,Cancelled,11226,CN,COMBINEDCANCELLED-4317,11225
4322,2022-04-11,Cancelled,18098,TH,COMBINEDCANCELLED-4322,18097
4323,2023-06-29,Cancelled,661,TH,COMBINEDCANCELLED-4323,660
4330,2023-08-11,Cancelled,2620,CN,COMBINEDCANCELLED-4330,8353304
4338,2021-09-10,Cancelled,12467,VN,COMBINEDCANCELLED-4338,12466
4359,2023-03-28,Cancelled,318352,MU,COMBINEDCANCELLED-4359,419807
4364,2023-03-28,Cancelled,603755,IN,COMBINEDCANCELLED-4364,613101
4382,2023-06-06,Cancelled,20000,IN,COMBINEDCANCELLED-4382,19999
4401,2017-01-11,Cancelled,129113,CN,COMBINEDCANCELLED-4401,129112
4413,2022-07-12,Cancelled,8336,CN,COMBINEDCANCELLED-4413,8335
4416,2017-01-11,Cancelled,124950,CN,COMBINEDCANCELLED-4416,124949
4421,2015-07-28,Cancelled,86983,CN,COMBINEDCANCELLED-4421,86982
4422,2016-10-26,Cancelled,100437,CN,COMBINEDCANCELLED-4422,100436
4449,2023-03-01,Cancelled,108601,CL,COMBINEDCANCELLED-4449,108600
4451,2022-09-06,Cancelled,52378,CN,COMBINEDCANCELLED-4451,442074087
4463,2022-08-18,Cancelled,249953,IN,COMBINEDCANCELLED-4463,46157225
4466,2020-11-16,Cancelled,6056,UG,COMBINEDCANCELLED-4466,9269634
4470,2021-06-02,Cancelled,51615,IN,COMBINEDCANCELLED-4470,51614
4489,2023-08-30,Cancelled,95055,IN,COMBINEDCANCELLED-4489,116325507
4521,2021-06-03,Cancelled,122,CN,COMBINEDCANCELLED-4521,496551464
4530,2015-06-12,Cancelled,24200,NP,COMBINEDCANCELLED-4530,24199
4531,2020-06-25,Cancelled,15277,IN,COMBINEDCANCELLED-4531,96619730
4537,2022-09-14,Cancelled,159623,VN,COMBINEDCANCELLED-4537,159622
4575,2022-12-29,Cancelled,1800,IN,COMBINEDCANCELLED-4575,1799
4576,2023-08-13,Cancelled,34709,IN,COMBINEDCANCELLED-4576,126947822
4585,2014-09-08,Cancelled,300,IN,COMBINEDCANCELLED-4585,2569
4626,2023-02-13,Cancelled,188,VN,COMBINEDCANCELLED-4626,187
4634,2022-12-15,Cancelled,92524,MX,COMBINEDCANCELLED-4634,13780300
4661,2023-08-28,Cancelled,56498,KR,COMBINEDCANCELLED-4661,65985276
4665,2022-05-19,Cancelled,2576375,KR,COMBINEDCANCELLED-4665,83328511
4676,2022-07-24,Cancelled,38014,BR,COMBINEDCANCELLED-4676,12841865
4677,2022-09-14,Cancelled,279431,IN,COMBINEDCANCELLED-4677,23264837
4678,2016-08-18,Cancelled,7909,ID,COMBINEDCANCELLED-4678,7908
4687,2023-03-07,Cancelled,136764,EG,COMBINEDCANCELLED-4687,136763
4693,2021-10-01,Cancelled,21561,IN,COMBINEDCANCELLED-4693,21560
4700,2022-05-05,Cancelled,219172,IN,COMBINEDCANCELLED-4700,94763839
4709,2023-07-13,Cancelled,445,IN,COMBINEDCANCELLED-4709,6098
4713,2021-11-19,Cancelled,93874,CN,COMBINEDCANCELLED-4713,93873
4720,2022-05-05,Cancelled,403903,VN,COMBINEDCANCELLED-4720,403902
4734,2015-02-05,Cancelled,93842,CN,COMBINEDCANCELLED-4734,93841
4744,2023-07-21,Cancelled,35847,CN,COMBINEDCANCELLED-4744,145535
4759,2022-08-29,Cancelled,35874,IN,COMBINEDCANCELLED-4759,35873
4776,2023-07-19,Cancelled,5991398,IN,COMBINEDCANCELLED-4776,37400502
4788,2023-07-26,Cancelled,190716,BR,COMBINEDCANCELLED-4788,64054499
4791,2022-12-12,Cancelled,547161,BD,COMBINEDCANCELLED-4791,547160
4800,2023-03-28,Cancelled,7094,CL,COMBINEDCANCELLED-4800,15990457
4818,2022-01-24,Cancelled,47199,IN,COMBINEDCANCELLED-4818,47198
4823,2023-07-13,Cancelled,97140,VN,COMBINEDCANCELLED-4823,133329
4828,2020-06-04,Cancelled,1015343,IN,COMBINEDCANCELLED-4828,55976209
4831,2018-02-16,Cancelled,3407,IN,COMBINEDCANCELLED-4831,33337
4844,2021-08-17,Cancelled,1022724,CN,COMBINEDCANCELLED-4844,380749915
4846,2021-11-09,Cancelled,82299,IN,COMBINEDCANCELLED-4846,91405843
4853,2015-09-03,Cancelled,417796,CN,COMBINEDCANCELLED-4853,64179903
4856,2018-11-26,Cancelled,23591,IN,COMBINEDCANCELLED-4856,13646920
4861,2018-09-07,Cancelled,735330,CO,COMBINEDCANCELLED-4861,7181780
4892,2022-11-29,Cancelled,15399,IN,COMBINEDCANCELLED-4892,15398
4912,2023-01-12,Cancelled,147816,CN,COMBINEDCANCELLED-4912,147815
4928,2022-12-20,Cancelled,114659,CN,COMBINEDCANCELLED-4928,114658
4930,2022-11-10,Cancelled,517214,IN,COMBINEDCANCELLED-4930,67290831
4936,2016-12-07,Cancelled,6781,BR,COMBINEDCANCELLED-4936,6780
4939,2020-11-16,Cancelled,134,UG,COMBINEDCANCELLED-4939,133
4940,2020-12-09,Cancelled,970,UG,COMBINEDCANCELLED-4940,969
4941,2021-01-07,Cancelled,358,UG,COMBINEDCANCELLED-4941,357
4956,2017-05-12,Cancelled,15683,IN,COMBINEDCANCELLED-4956,15682
4964,2017-04-05,Cancelled,17377,IN,COMBINEDCANCELLED-4964,17376
4985,2020-01-07,Cancelled,15360,IN,COMBINEDCANCELLED-4985,15359
4988,2021-05-11,Cancelled,50278,CR,COMBINEDCANCELLED-4988,50277
4992,2021-11-19,Cancelled,7500,IN,COMBINEDCANCELLED-4992,7499
4993,2021-03-15,Cancelled,3419490,IN,COMBINEDCANCELLED-4993,3517520
4996,2018-10-30,Cancelled,94292,BR,COMBINEDCANCELLED-4996,128523
5001,2022-10-21,Cancelled,1822,IN,COMBINEDCANCELLED-5001,1821
5016,2020-12-30,Cancelled,1728794,IN,COMBINEDCANCELLED-5016,1728793
5023,2017-05-29,Cancelled,1067,KE,COMBINEDCANCELLED-5023,1066
5029,2018-01-11,Cancelled,47810,CN,COMBINEDCANCELLED-5029,233961456
5038,2018-09-10,Cancelled,41460,CN,COMBINEDCANCELLED-5038,41459
5080,2021-07-06,Cancelled,131933,CN,COMBINEDCANCELLED-5080,131932
5090,2021-10-05,Cancelled,169784,IN,COMBINEDCANCELLED-5090,89152373
5098,2019-09-18,Cancelled,15407,TH,COMBINEDCANCELLED-5098,15406
5106,2019-11-13,Cancelled,19154,CN,COMBINEDCANCELLED-5106,19153
5109,2017-02-09,Cancelled,57482,CN,COMBINEDCANCELLED-5109,57481
5112,2022-02-24,Cancelled,269390,IN,COMBINEDCANCELLED-5112,269389
5125,2017-08-23,Cancelled,1761,BD,COMBINEDCANCELLED-5125,519763
5134,2023-08-31,Cancelled,13539,CN,COMBINEDCANCELLED-5134,13538
5136,2021-12-10,Cancelled,306,CN,COMBINEDCANCELLED-5136,305
5153,2021-09-27,Cancelled,147263,KR,COMBINEDCANCELLED-5153,25235054
5161,2021-08-30,Cancelled,53579,IN,COMBINEDCANCELLED-5161,53578
5179,2023-08-03,Cancelled,18420,CN,COMBINEDCANCELLED-5179,18419
5186,2022-09-26,Cancelled,407847,IN,COMBINEDCANCELLED-5186,79095121
5204,2013-03-21,Cancelled,2500,CN,COMBINEDCANCELLED-5204,2499
5212,2023-01-26,Cancelled,1493,MU,COMBINEDCANCELLED-5212,1492
5219,2017-04-13,Cancelled,56729,IN,COMBINEDCANCELLED-5219,56728
5238,2019-06-19,Cancelled,42350,CN,COMBINEDCANCELLED-5238,42349
5251,2023-08-03,Cancelled,16533,KR,COMBINEDCANCELLED-5251,37470670
5257,2023-08-31,Cancelled,82830,IN,COMBINEDCANCELLED-5257,109802
5289,2018-09-10,Cancelled,73027,CN,COMBINEDCANCELLED-5289,73026
5293,2019-01-25,Cancelled,35866,CN,COMBINEDCANCELLED-5293,35865
5311,2018-09-10,Cancelled,32144,CN,COMBINEDCANCELLED-5311,32143
5336,2022-04-08,Cancelled,13074,KE,COMBINEDCANCELLED-5336,13135
5341,2023-08-04,Cancelled,162940,KE,COMBINEDCANCELLED-5341,8525750
5342,2023-05-05,Cancelled,170644,NG,COMBINEDCANCELLED-5342,3806375
5344,2023-02-14,Cancelled,54291,IN,COMBINEDCANCELLED-5344,108593820
5393,2023-06-15,Cancelled,210481,CL,COMBINEDCANCELLED-5393,11417667
5401,2021-07-06,Cancelled,74512,IN,COMBINEDCANCELLED-5401,74511
5415,2018-01-12,Cancelled,3982,NP,COMBINEDCANCELLED-5415,797885
5416,2018-01-12,Cancelled,5298,NP,COMBINEDCANCELLED-5416,874235
5425,2019-02-11,Cancelled,20703,IN,COMBINEDCANCELLED-5425,31434361
5439,2023-08-27,Cancelled,51633,IN,COMBINEDCANCELLED-5439,51632
5446,2021-12-10,Cancelled,463,CN,COMBINEDCANCELLED-5446,462
5461,2021-02-11,Cancelled,63074,PK,COMBINEDCANCELLED-5461,4321881
5486,2019-07-01,Cancelled,20289,IN,COMBINEDCANCELLED-5486,33818933
5492,2018-10-31,Cancelled,96,BR,COMBINEDCANCELLED-5492,95
5495,2023-08-10,Cancelled,935478,BR,COMBINEDCANCELLED-5495,37934553
5522,2023-08-10,Cancelled,96188,JM,COMBINEDCANCELLED-5522,260024
5537,2023-07-28,Cancelled,146592,IN,COMBINEDCANCELLED-5537,146991
5553,2019-10-11,Cancelled,63838,IN,COMBINEDCANCELLED-5553,17465571
5554,2021-10-01,Cancelled,72529,IN,COMBINEDCANCELLED-5554,72528
5584,2023-08-14,Cancelled,205487,HN,COMBINEDCANCELLED-5584,2533525
5619,2019-09-05,Cancelled,45987,PE,COMBINEDCANCELLED-5619,47978
5661,2023-01-04,Cancelled,55688,CN,COMBINEDCANCELLED-5661,55687
5676,2022-05-11,Cancelled,1286747,MX,COMBINEDCANCELLED-5676,10771606
5678,2022-12-08,Cancelled,12497,IN,COMBINEDCANCELLED-5678,12496
5681,2023-01-04,Cancelled,81068,CN,COMBINEDCANCELLED-5681,81067
5693,2023-01-04,Cancelled,56821,CN,COMBINEDCANCELLED-5693,56820
5726,2023-06-29,Cancelled,5802,CL,COMBINEDCANCELLED-5726,5801
5781,2020-08-27,Cancelled,125194,CN,COMBINEDCANCELLED-5781,125193
5794,2022-03-29,Cancelled,38689,IN,COMBINEDCANCELLED-5794,40523364
5809,2018-04-10,Cancelled,73574,CN,COMBINEDCANCELLED-5809,73573
5814,2022-04-12,Cancelled,57000,IN,COMBINEDCANCELLED-5814,56999
5821,2017-05-12,Cancelled,11569,IN,COMBINEDCANCELLED-5821,11568
5845,2021-10-01,Cancelled,56440,IN,COMBINEDCANCELLED-5845,42818891
5851,2021-11-16,Cancelled,200000,CN,COMBINEDCANCELLED-5851,199999
5862,2023-02-27,Cancelled,50792,CN,COMBINEDCANCELLED-5862,50791
5884,2020-11-20,Cancelled,61450,ZA,COMBINEDCANCELLED-5884,61449
5887,2020-11-20,Cancelled,1348,KP,COMBINEDCANCELLED-5887,1347
5894,2023-02-08,Cancelled,1081830,MX,COMBINEDCANCELLED-5894,9921279
5895,2023-01-04,Cancelled,40403,CN,COMBINEDCANCELLED-5895,40402
5909,2020-08-27,Cancelled,123034,CN,COMBINEDCANCELLED-5909,123033
5921,2017-04-05,Cancelled,18161,IN,COMBINEDCANCELLED-5921,18160
5923,2022-02-10,Cancelled,73107,IN,COMBINEDCANCELLED-5923,70927386
5938,2021-07-23,Cancelled,102524,IN,COMBINEDCANCELLED-5938,42606838
5977,2023-07-27,Cancelled,279552,MN,COMBINEDCANCELLED-5977,904604
5992,2020-11-23,Cancelled,52902,CN,COMBINEDCANCELLED-5992,52901
6003,2022-09-15,Cancelled,239308,IN,COMBINEDCANCELLED-6003,239307
6008,2020-11-27,Cancelled,147678,ID,COMBINEDCANCELLED-6008,821816
6009,2023-02-27,Cancelled,62308,CN,COMBINEDCANCELLED-6009,62307
6042,2022-02-08,Cancelled,45036,BR,COMBINEDCANCELLED-6042,45035
6083,2020-11-24,Cancelled,201195,ZA,COMBINEDCANCELLED-6083,1119034
6085,2017-08-03,Cancelled,892,BD,COMBINEDCANCELLED-6085,101051
6121,2021-07-20,Cancelled,38795,IN,COMBINEDCANCELLED-6121,39138
6125,2021-06-08,Cancelled,4131,CN,COMBINEDCANCELLED-6125,4130
6133,2023-01-04,Cancelled,48789,CN,COMBINEDCANCELLED-6133,48788
6143,2022-07-05,Cancelled,73386,NI,COMBINEDCANCELLED-6143,2619048
6151,2017-12-18,Cancelled,8952,IN,COMBINEDCANCELLED-6151,8951
6152,2023-04-20,Cancelled,132284,CN,COMBINEDCANCELLED-6152,136893
6160,2023-02-20,Cancelled,133212,IN,COMBINEDCANCELLED-6160,122128797
6205,2023-02-07,Cancelled,36826,CN,COMBINEDCANCELLED-6205,36825
6208,2019-01-23,Cancelled,66461,BR,COMBINEDCANCELLED-6208,67484
6216,2023-07-31,Cancelled,917473,MX,COMBINEDCANCELLED-6216,11234579
6255,2023-01-04,Cancelled,64824,CN,COMBINEDCANCELLED-6255,64823
6275,2022-10-26,Cancelled,42064,CR,COMBINEDCANCELLED-6275,840103
6315,2023-08-18,Cancelled,218392,IN,COMBINEDCANCELLED-6315,43620552
6328,2023-08-31,Cancelled,4244,IN,COMBINEDCANCELLED-6328,7102
6366,2023-03-29,Cancelled,2600,IN,COMBINEDCANCELLED-6366,2599
6381,2023-02-13,Cancelled,32990,UG,COMBINEDCANCELLED-6381,1994925
6437,2021-10-01,Cancelled,29473,IN,COMBINEDCANCELLED-6437,40781348
6465,2021-12-17,Cancelled,2872,BR,COMBINEDCANCELLED-6465,95336
6484,2023-05-03,Cancelled,576915,IN,COMBINEDCANCELLED-6484,90162959
6488,2021-06-09,Cancelled,63000,MY,COMBINEDCANCELLED-6488,77887
6560,2021-08-12,Cancelled,685068,PK,COMBINEDCANCELLED-6560,2073398
6571,2022-08-26,Cancelled,30385,BR,COMBINEDCANCELLED-6571,30384
6573,2023-05-12,Cancelled,83955,BR,COMBINEDCANCELLED-6573,15740676
6588,2023-06-22,Cancelled,1656363,PA,COMBINEDCANCELLED-6588,1656362
6610,2023-02-22,Cancelled,140,IN,COMBINEDCANCELLED-6610,139
6635,2022-05-30,Cancelled,407052,CL,COMBINEDCANCELLED-6635,408107
6637,2021-04-29,Cancelled,2811486,KR,COMBINEDCANCELLED-6637,57878964
6651,2023-08-05,Cancelled,146697,IN,COMBINEDCANCELLED-6651,76277708
6652,2021-08-17,Cancelled,122101,CR,COMBINEDCANCELLED-6652,463024
6667,2023-08-25,Cancelled,2298,IN,COMBINEDCANCELLED-6667,40029
6702,2022-06-26,Cancelled,1396719,IN,COMBINEDCANCELLED-6702,3585218
6720,2023-08-28,Cancelled,17845,IN,COMBINEDCANCELLED-6720,62681
6762,2021-06-02,Cancelled,37000,MY,COMBINEDCANCELLED-6762,36999
6794,2023-06-21,Cancelled,14201,IN,COMBINEDCANCELLED-6794,8179661
6797,2021-04-30,Cancelled,533649,ZA,COMBINEDCANCELLED-6797,10122932
6817,2023-05-11,Cancelled,293857,OM,COMBINEDCANCELLED-6817,321063
6848,2023-08-23,Cancelled,460169,CL,COMBINEDCANCELLED-6848,23265875
6864,2021-01-19,Cancelled,7890,ZM,COMBINEDCANCELLED-6864,7889
6909,2023-02-27,Cancelled,450,IN,COMBINEDCANCELLED-6909,449
6922,2018-05-22,Cancelled,59479,KR,COMBINEDCANCELLED-6922,38636531
6964,2016-07-25,Cancelled,3,AE,COMBINEDCANCELLED-6964,2
6973,2023-07-24,Cancelled,448841,GT,COMBINEDCANCELLED-6973,1097690
6987,2021-06-10,Cancelled,6548,CN,COMBINEDCANCELLED-6987,6547
6988,2015-08-05,Cancelled,69,CN,COMBINEDCANCELLED-6988,68
7014,2023-05-11,Cancelled,4154,KE,COMBINEDCANCELLED-7014,4153
7027,2023-08-23,Cancelled,73609,BR,COMBINEDCANCELLED-7027,73608
7030,2023-08-16,Cancelled,2110,CN,COMBINEDCANCELLED-7030,2109
7036,2022-12-21,Cancelled,268000,IN,COMBINEDCANCELLED-7036,267999
7088,2023-08-30,Cancelled,5581,IN,COMBINEDCANCELLED-7088,5580
7093,2021-06-08,Cancelled,163312,DO,COMBINEDCANCELLED-7093,163311
7099,2023-08-28,Cancelled,184499,IN,COMBINEDCANCELLED-7099,192123
7100,2022-02-14,Cancelled,460488,DO,COMBINEDCANCELLED-7100,460487
7110,2021-06-23,Cancelled,32930,BR,COMBINEDCANCELLED-7110,32929
7133,2019-12-23,Cancelled,6438,IN,COMBINEDCANCELLED-7133,6437
7140,2017-10-25,Cancelled,5569,KR,COMBINEDCANCELLED-7140,5568
7152,2023-06-26,Cancelled,17575,CN,COMBINEDCANCELLED-7152,149206118
7156,2022-06-30,Cancelled,13992,BR,COMBINEDCANCELLED-7156,13991
7178,2023-06-19,Cancelled,799380,AR,COMBINEDCANCELLED-7178,1499345
7196,2023-04-28,Cancelled,89234,BR,COMBINEDCANCELLED-7196,89233
7207,2017-10-25,Cancelled,3581,KR,COMBINEDCANCELLED-7207,3580
7260,2020-06-18,Cancelled,2061,AE,COMBINEDCANCELLED-7260,2060
7273,2017-10-25,Cancelled,4200,KR,COMBINEDCANCELLED-7273,4199
7289,2021-12-22,Cancelled,799485,CN,COMBINEDCANCELLED-7289,799484
7326,2017-10-25,Cancelled,4655,KR,COMBINEDCANCELLED-7326,4654
7359,2023-05-04,Cancelled,457764,KE,COMBINEDCANCELLED-7359,8633188
7369,2022-03-16,Cancelled,21000,IN,COMBINEDCANCELLED-7369,21278
7415,2022-02-07,Cancelled,386102,IN,COMBINEDCANCELLED-7415,64844270
7434,2022-03-10,Cancelled,16165,IN,COMBINEDCANCELLED-7434,16164
7437,2021-10-23,Cancelled,9627,IN,COMBINEDCANCELLED-7437,9820
7461,2023-07-09,Cancelled,38840,IN,COMBINEDCANCELLED-7461,49145855
7474,2023-08-23,Cancelled,326280,TH,COMBINEDCANCELLED-7474,522690
7480,2023-08-09,Cancelled,99578,CN,COMBINEDCANCELLED-7480,99577
7495,2023-08-28,Cancelled,37514,CN,COMBINEDCANCELLED-7495,37513
7497,2023-07-31,Cancelled,118427,CN,COMBINEDCANCELLED-7497,118431
7507,2023-08-09,Cancelled,16876,CN,COMBINEDCANCELLED-7507,874445
7537,2022-03-16,Cancelled,7000,IN,COMBINEDCANCELLED-7537,6999
7562,2022-04-29,Cancelled,32000,IN,COMBINEDCANCELLED-7562,31999
7572,2017-03-17,Cancelled,2473,CR,COMBINEDCANCELLED-7572,22621
7577,2019-03-22,Cancelled,121310,BR,COMBINEDCANCELLED-7577,40958599
7609,2022-04-26,Cancelled,230000,PE,COMBINEDCANCELLED-7609,229999
7647,2017-04-19,Cancelled,8026,IN,COMBINEDCANCELLED-7647,8025
7650,2022-10-26,Cancelled,225591,TH,COMBINEDCANCELLED-7650,818836
7675,2021-05-13,Cancelled,14694,IN,COMBINEDCANCELLED-7675,14985
7692,2023-02-20,Cancelled,34687,CN,COMBINEDCANCELLED-7692,34686
7734,2018-08-13,Cancelled,1235,KE,COMBINEDCANCELLED-7734,1234
7783,2018-03-27,Cancelled,2494,KE,COMBINEDCANCELLED-7783,7972
7791,2023-08-02,Cancelled,3716,IN,COMBINEDCANCELLED-7791,19581711
7834,2023-03-07,Cancelled,800000,CN,COMBINEDCANCELLED-7834,14636629
7844,2023-08-07,Cancelled,1016,IN,COMBINEDCANCELLED-7844,1015
7853,2023-07-24,Cancelled,170001,CN,COMBINEDCANCELLED-7853,349610
7864,2021-12-07,Cancelled,54928,ID,COMBINEDCANCELLED-7864,1753838
7873,2021-03-09,Cancelled,18699,IN,COMBINEDCANCELLED-7873,18698
7901,2022-11-02,Cancelled,170000,IN,COMBINEDCANCELLED-7901,169999
7962,2016-11-17,Cancelled,123692,CN,COMBINEDCANCELLED-7962,124797
7980,2023-08-30,Cancelled,212215,PH,COMBINEDCANCELLED-7980,212214
7981,2020-08-14,Cancelled,4168,IN,COMBINEDCANCELLED-7981,4167
7997,2023-08-29,Cancelled,215295,KE,COMBINEDCANCELLED-7997,8637498
8012,2023-07-10,Cancelled,2268826,BR,COMBINEDCANCELLED-8012,46053045
8016,2023-07-10,Cancelled,3326,CN,COMBINEDCANCELLED-8016,3325
8018,2022-04-29,Cancelled,229318,BR,COMBINEDCANCELLED-8018,229317
8021,2023-08-23,Cancelled,27115,BR,COMBINEDCANCELLED-8021,60464
8027,2021-10-21,Cancelled,8667,TH,COMBINEDCANCELLED-8027,51666
8048,2022-01-25,Cancelled,383583,IN,COMBINEDCANCELLED-8048,383582
8060,2018-10-17,Cancelled,210000,ZM,COMBINEDCANCELLED-8060,481367
8072,2023-02-14,Cancelled,45616,IN,COMBINEDCANCELLED-8072,45615
8095,2021-02-19,Cancelled,79663,IN,COMBINEDCANCELLED-8095,79662
8096,2023-07-03,Cancelled,47222,CN,COMBINEDCANCELLED-8096,47221
8103,2021-02-11,Cancelled,3221,IN,COMBINEDCANCELLED-8103,3220
8108,2023-07-24,Cancelled,40345,CN,COMBINEDCANCELLED-8108,90344
8150,2022-06-02,Cancelled,114,IN,COMBINEDCANCELLED-8150,113
8179,2023-06-13,Cancelled,40000,CN,COMBINEDCANCELLED-8179,39999
8198,2021-06-01,Cancelled,143,IN,COMBINEDCANCELLED-8198,142
8221,2023-03-09,Cancelled,629000,NI,COMBINEDCANCELLED-8221,628999
8242,2023-03-07,Cancelled,50916,BR,COMBINEDCANCELLED-8242,8737578
8244,2020-09-16,Cancelled,56557,MD,COMBINEDCANCELLED-8244,698121
8260,2023-07-21,Cancelled,1200000,ZA,COMBINEDCANCELLED-8260,1199999
8269,2022-12-22,Cancelled,139466,AE,COMBINEDCANCELLED-8269,708979
8270,2022-06-02,Cancelled,1188,IN,COMBINEDCANCELLED-8270,1187
8273,2023-08-03,Cancelled,59210,CN,COMBINEDCANCELLED-8273,353976
8288,2023-08-30,Cancelled,41617,IN,COMBINEDCANCELLED-8288,39619066
8304,2018-03-14,Cancelled,21000,CN,COMBINEDCANCELLED-8304,20999
8323,2022-04-13,Cancelled,267368,IN,COMBINEDCANCELLED-8323,267367
8342,2022-11-11,Cancelled,40468,IN,COMBINEDCANCELLED-8342,40467
8344,2023-02-27,Cancelled,64986,CN,COMBINEDCANCELLED-8344,64985
8347,2023-08-14,Cancelled,15000,IN,COMBINEDCANCELLED-8347,53627
8365,2023-02-14,Cancelled,161509,IN,COMBINEDCANCELLED-8365,161508
8374,2022-05-16,Cancelled,38085,IN,COMBINEDCANCELLED-8374,59864790
