HostParty,CDM project reference number,Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended
IN,7647,Applus1638474196.15,4/5/23,2015-12-16,2020-12-31
IN,7442,Applus1640001812.09,4/5/23,2018-01-07,2020-12-28
BR,6553,KBS_Cert1667800630.95,1/5/23,2013-01-01,2019-07-17
IN,9604,Applus1637342076.59,27/4/23,2013-05-04,2020-04-04
IN,9605,Applus1637342155.87,27/4/23,2013-05-04,2020-04-04
CN,5311,CCSC_DOE1631070332.18,27/4/23,2016-12-21,2018-07-11
CN,5311,CCSC_DOE1631166266.17,27/4/23,2018-08-11,2020-12-20
BR,7017,ESPL1666004107.09,27/4/23,2013-01-11,2020-10-31
BR,7021,ESPL1666004229.86,27/4/23,2013-01-11,2020-10-31
BR,7026,ESPL1666004408.79,27/4/23,2013-01-11,2020-10-31
BR,7023,ESPL1666198354.93,27/4/23,2013-01-11,2020-10-31
CL,2417,KBS_Cert1653019510.57,27/4/23,2014-01-07,2016-03-08
AR,9822,AENOR1637594996.96,25/4/23,2016-04-14,2020-12-31
CN,8179,CTI1657247744.91,25/4/23,2013-01-01,2019-12-31
CN,7853,CTI1661771731.11,25/4/23,2018-01-01,2020-12-31
LK,751,KBS_Cert1635225375.64,25/4/23,2013-01-01,2017-12-31
LK,751,KBS_Cert1635225375.64,25/4/23,2011-01-01,2012-12-31
GH,8438,poaiss188546015~GH,20/4/23,2019-01-07,2020-06-30
GH,8438,poaiss663500060~GH,20/4/23,2018-01-07,2019-06-30
GH,8438,poaiss274024577~GH,20/4/23,2020-01-07,2020-12-31
IN,1047,4KEarth1648863914.34,20/4/23,2013-01-01,2017-01-29
IN,1047,4KEarth1648863914.34,20/4/23,2012-10-29,2012-12-31
IN,9410,4KEarth1649656567.54,20/4/23,2013-01-01,2019-12-30
IN,6896,Applus1649101054.62,20/4/23,2013-01-01,2019-12-31
IN,6896,Applus1649101054.62,20/4/23,2012-10-31,2012-12-31
CL,8337,Applus1651917532.1,20/4/23,2013-01-01,2019-12-31
CN,1906,CTI1548732930.56,20/4/23,2018-01-01,2018-12-24
IN,3854,ESPL1663331694.6,20/4/23,2017-01-03,2020-12-13
CO,122,ICONTEC1667578124.18,20/4/23,2018-01-01,2019-12-31
CO,10236,ICONTEC1652905018.84,19/4/23,2019-06-15,2020-06-14
CN,7853,CTI1661771579.07,17/4/23,2016-01-01,2017-12-31
CN,5828,CTI1661773642.6,17/4/23,2016-01-01,2017-12-31
CN,5828,CTI1661773691.53,17/4/23,2018-01-01,2020-12-31
BD,10512,poaiss804179934~BD,13/4/23,2020-01-09,2020-12-31
IN,8261,poaiss779165361~IN,13/4/23,2013-03-31,2020-03-30
IN,10098,Applus1642423596.42,13/4/23,2015-01-15,2020-12-31
IN,9508,Applus1642423615.5,13/4/23,2012-12-31,2012-12-31
IN,9508,Applus1642423615.5,13/4/23,2013-01-01,2019-12-30
IN,6621,ESPL1663071750.26,13/4/23,2013-12-16,2017-12-31
CL,4449,KBS_Cert1660212975.89,13/4/23,2013-01-01,2018-11-05
CL,4449,KBS_Cert1660213116.31,13/4/23,2018-12-05,2018-12-31
CL,5726,KBS_Cert1660024752.42,11/4/23,2013-01-10,2017-12-31
CN,3797,Applus1654080342.92,6/4/23,2013-01-01,2017-04-12
CN,3797,Applus1654080342.92,6/4/23,2010-05-12,2012-12-31
LK,751,KBS_Cert1634899937.15,6/4/23,2009-01-09,2010-12-31
IN,8371,KBS_Cert1652005226.46,6/4/23,2014-06-30,2020-08-31
KR,3246,Korean Standards Association1668439116.43,6/4/23,2013-01-01,2020-06-23
MX,7357,KBS_Cert1661158643.5,4/4/23,2014-02-22,2018-12-31
KR,9247,poaiss907403542~KR,30/3/23,2019-01-01,2020-12-31
VN,3532,4KEarth1643367938.24,30/3/23,2016-01-04,2018-05-05
IN,1300,Applus1650285993.12,30/3/23,2013-01-01,2018-02-25
IN,1300,Applus1650285993.12,30/3/23,2011-01-11,2012-12-31
IN,7589,Applus1651315448.81,30/3/23,2015-01-09,2020-12-31
CN,536,Applus1665509416.66,30/3/23,2015-09-28,2019-12-31
CN,1244,Applus1666030083.88,30/3/23,2017-01-02,2019-12-31
AR,1570,ESPL1643110636.5,30/3/23,2014-01-06,2015-04-24
AR,1570,ESPL1643113550.97,30/3/23,2016-08-04,2020-12-31
KR,9165,Korean Standards Association1667958678.4,30/3/23,2013-01-01,2020-12-31
KR,9165,Korean Standards Association1667958678.4,30/3/23,2012-12-26,2012-12-31
IN,7441,RINA1661939197.22,30/3/23,2013-01-01,2019-12-31
BR,373,KBS_Cert1646290674.89,28/3/23,2012-05-16,2012-12-31
BR,373,KBS_Cert1646290674.89,28/3/23,2013-01-01,2014-05-21
IN,10168,Applus1614342350.23,23/3/23,2016-01-01,2020-12-31
IN,7901,Applus1645785776.44,23/3/23,2012-01-11,2012-12-31
IN,7901,Applus1645785776.44,23/3/23,2013-01-01,2019-10-31
IN,4251,Applus1649354129.25,23/3/23,2011-01-05,2012-12-31
IN,4251,Applus1649354129.25,23/3/23,2013-01-01,2020-12-31
VN,4537,BVQI1647502727.99,23/3/23,2018-08-31,2020-12-31
CN,8074,CCCI_DOE1664619747.59,23/3/23,2018-01-01,2020-12-30
CN,4330,CTI1632894204.65,23/3/23,2018-01-27,2020-12-31
CN,6758,CTI1656570893.86,23/3/23,2018-01-01,2020-07-28
IN,3248,CarbonCheck_Cert1603446900.55,23/3/23,2020-01-01,2020-06-26
VN,4551,TUEV-SUED1659181231.11,23/3/23,2020-01-01,2020-12-31
CN,8026,CTI1656571607.76,21/3/23,2013-01-11,2020-10-31
IN,5821,ESPL1663331440.29,21/3/23,2013-01-01,2016-12-31
CN,2533,TUEV-SUED1637224344.28,21/3/23,2013-01-01,2017-12-10
