CDM project reference number,HostParty,Issuance process ID,Issuance date,Status,Total,Vintage Year
1116,IN,SGS-UKL1400515397.62,17/10/14,Held," 1,479,563 ",2013
3260,CN,TUEV-RHEIN1393482354.08,17/10/14,Held," 31,628 ",2011
3260,CN,TUEV-RHEIN1393482354.08,17/10/14,Held," 20,655 ",2013
2155,CN,TUEV-RHEIN1401951689.93,17/10/14,Held," 372,153 ",2013
526,ID,TUEV-SUED1333543028.28,17/10/14,Held," 836,721 ",2007
2186,MX,AENOR1400230199.68,16/10/14,Held," 285,606 ",2013
7566,CN,Applus1401790390.65,16/10/14,Held," 14,762 ",2012
7566,CN,Applus1401790390.65,16/10/14,Held," 153,160 ",2013
6481,CN,CTI1404272210.73,16/10/14,Held," 22,124 ",2012
6481,CN,CTI1404272210.73,16/10/14,Held," 117,041 ",2013
6293,CN,Applus1401889936.5,15/10/14,Held," 10,204 ",2012
6293,CN,Applus1401889936.5,15/10/14,Held," 83,871 ",2013
6858,CN,Applus1404212609.7,15/10/14,Held," 34,731 ",2012
6858,CN,Applus1404212609.7,15/10/14,Held," 127,170 ",2013
530,BR,BVQI1391573646.76,15/10/14,Held," 90,715 ",2013
4628,CN,China Quality1350020013.76,15/10/14,Held," 84,681 ",2011
3039,CN,TUEV-RHEIN1401953881.52,15/10/14,Held," 454,254 ",2013
5128,CN,CEC1402035253.11,14/10/14,Held," 123,337 ",2013
6052,CN,BVQI1400063957.04,10/10/14,Held," 45,119 ",2012
6052,CN,BVQI1400063957.04,10/10/14,Held," 85,542 ",2013
4351,IN,CTI1392022630.14,10/10/14,Held," 3,241 ",2013
4351,IN,CTI1392022630.14,10/10/14,Held," 8,414 ",2011
136,NP,RINA1390839650.18,10/10/14,Held," 15,066 ",2013
136,NP,RINA1390839650.18,10/10/14,Held," 10,873 ",2012
5416,NP,RINA1390839818.31,10/10/14,Held," 27,516 ",2012
5416,NP,RINA1390839818.31,10/10/14,Held," 38,126 ",2013
5415,NP,RINA1390839914.86,10/10/14,Held," 37,393 ",2013
5415,NP,RINA1390839914.86,10/10/14,Held," 26,987 ",2012
2692,ZA,RWTUV1273584852.49,10/10/14,Held," 63,397 ",2009
2692,ZA,RWTUV1273584852.49,10/10/14,Held," 30,503 ",2013
3180,CN,TUEV-RHEIN1397031710.21,10/10/14,Held," 62,234 ",2012
9282,BR,BVQI1382356258.77,8/10/14,Held," 1,057,929 ",2013
453,PH,AENOR1343984357.98,7/10/14,Held," 62,868 ",2011
3404,RW,AENOR1355214173.32,7/10/14,Held," 23,491 ",2010
1349,UY,AENOR1392743097.33,7/10/14,Held," 8,224 ",2010
1349,UY,AENOR1392743097.33,7/10/14,Held," 65,524 ",2013
2197,CN,CTI1398743909.65,7/10/14,Held," 187,719 ",2013
1713,PK,DNV-CUK1367916622.46,7/10/14,Held," 18,472 ",2011
1713,PK,DNV-CUK1367916622.46,7/10/14,Held," 2,952 ",2013
1176,ID,JQA1395792918.01,7/10/14,Held," 122,528 ",2011
6143,NI,RWTUV1392012458.23,7/10/14,Held," 121,457 ",2013
2138,TH,RWTUV1392616166.08,7/10/14,Held," 67,904 ",2013
2716,IN,SGS-UKL1388657279.77,7/10/14,Held," 414,183 ",2012
2716,IN,SGS-UKL1388657279.77,7/10/14,Held," 427,673 ",2013
5186,IN,SGS-UKL1392800203.72,7/10/14,Held," 88,399 ",2013
550,CN,SGS-UKL1394027262.08,7/10/14,Held," 1,249,733 ",2013
3067,CN,TUEV-RHEIN1397030316.81,7/10/14,Held," 159,088 ",2012
4575,IN,KBS_Cert1374655967.42,2/10/14,Held," 5,420 ",2013
4575,IN,KBS_Cert1374655967.42,2/10/14,Held," 10,960 ",2012
6928,CN,TUEV-RHEIN1395045739.51,1/10/14,Held," 503,545 ",2013
3072,CN,CTI1398222237.91,30/9/14,Held," 69,625 ",2012
3072,CN,CTI1398222237.91,30/9/14,Held," 75,825 ",2013
4302,ZA,poaiss618086231,26/9/14,Held," 50,194 ",2013
4302,ZA,poaiss46497467,26/9/14,Held," 14,227 ",2011
1424,PE,AENOR1296664682.47,26/9/14,Held," 22,518 ",2009
1444,PE,AENOR1296815266.67,26/9/14,Held," 42,154 ",2008
2992,CM,DNV-CUK1390312535.4,26/9/14,Held," 42,943 ",2013
2992,CM,DNV-CUK1390312535.4,26/9/14,Held," 22,847 ",2011
3766,IN,KBS_Cert1399542850.89,26/9/14,Held," 20,698 ",2013
229,BR,RINA1395932000.42,26/9/14,Held," 9,305 ",2013
229,BR,RINA1395932000.42,26/9/14,Held," 11,989 ",2011
4634,MX,RINA1398689643.99,26/9/14,Held," 117,121 ",2013
4634,MX,RINA1398689643.99,26/9/14,Held," 39,255 ",2012
5662,AL,RWTUV1391179209.2,26/9/14,Held," 78,310 ",2013
3558,MG,RWTUV1397068743.9,26/9/14,Held," 84,832 ",2010
876,AR,TUEV-RHEIN1296110507.75,26/9/14,Held," 6,462 ",2007
3979,UY,TUEV-SUED1368435426.0,26/9/14,Held," 68,899 ",2011
3979,UY,TUEV-SUED1368435426.0,26/9/14,Held," 4,275 ",2013
395,MY,SIRIM1391746339.06,25/9/14,Held," 99,432 ",2011
4996,BR,BVQI1391574054.96,24/9/14,Held," 94,176 ",2013
4996,BR,BVQI1391574054.96,24/9/14,Held," 35,049 ",2012
1514,IN,SGS-UKL1380811831.11,24/9/14,Held," 9,815 ",2012
1514,IN,SGS-UKL1380811831.11,24/9/14,Held, 413 ,2013
1495,IN,TUEV-RHEIN1341993770.82,24/9/14,Held," 11,188 ",2011
2729,IN,TUEV-SUED1398420114.45,24/9/14,Held," 17,145 ",2013
842,CN,Applus1401788602.42,23/9/14,Held," 63,611 ",2012
842,CN,Applus1401788602.42,23/9/14,Held," 124,005 ",2013
2098,PK,BVQI1400132718.07,23/9/14,Held," 100,841 ",2013
2197,CN,CTI1398743774.29,23/9/14,Held," 103,274 ",2012
328,IN,CarbonCheck_Cert1396252978.5,23/9/14,Held," 2,311 ",2012
328,IN,CarbonCheck_Cert1396252978.5,23/9/14,Held," 5,559 ",2013
6948,CN,TUEV-RHEIN1395047065.55,23/9/14,Held," 222,419 ",2013
2561,CN,BVQI1387372433.19,22/9/14,Held," 139,397 ",2013
2561,CN,BVQI1387372433.19,22/9/14,Held," 128,254 ",2012
1852,IN,BVQI1399977370.45,22/9/14,Held," 58,880 ",2013
3056,CN,CTI1398326077.57,22/9/14,Held," 46,458 ",2012
3056,CN,CTI1398326077.57,22/9/14,Held," 34,151 ",2013
3606,CN,BVQI1392882099.49,19/9/14,Held," 132,812 ",2010
3606,CN,BVQI1392882099.49,19/9/14,Held," 58,606 ",2013
3066,CN,CTI1388127993.26,19/9/14,Held," 61,397 ",2011
329,IN,CarbonCheck_Cert1396512465.74,19/9/14,Held," 2,670 ",2012
329,IN,CarbonCheck_Cert1396512465.74,19/9/14,Held," 27,703 ",2013
4856,IN,CarbonCheck_Cert1397041819.51,19/9/14,Held," 24,122 ",2013
4856,IN,CarbonCheck_Cert1397041819.51,19/9/14,Held," 2,236 ",2012
1483,HN,RWTUV1375782304.55,19/9/14,Held," 125,272 ",2011
8165,IN,RWTUV1400152861.22,19/9/14,Held," 9,814 ",2013
8165,IN,RWTUV1400152861.22,19/9/14,Held, 748 ,2012
33,CL,SGS-UKL1335271764.15,19/9/14,Held," 220,628 ",2008
2597,CN,SGS-UKL1395400263.3,19/9/14,Held," 128,631 ",2013
2597,CN,SGS-UKL1395400263.3,19/9/14,Held," 232,486 ",2011
1749,CN,TUEV-RHEIN1396405351.39,19/9/14,Held," 195,286 ",2012
1749,CN,TUEV-RHEIN1396405351.39,19/9/14,Held," 461,503 ",2013
7177,CN,CTI1402562797.23,18/9/14,Held," 91,181 ",2013
1375,CN,SGS-UKL1390989349.64,18/9/14,Held," 528,473 ",2009
99,KR,TUEV-SUED1396075894.94,18/9/14,Held," 3,200,729 ",2013
2563,CN,BVQI1387258710.78,17/9/14,Held," 131,650 ",2013
2563,CN,BVQI1387258710.78,17/9/14,Held," 135,181 ",2012
8269,AE,KBS_Cert1384842536.97,17/9/14,Held," 7,408 ",2013
8269,AE,KBS_Cert1384842536.97,17/9/14,Held," 19,931 ",2012
346,CL,RWTUV1363120737.23,17/9/14,Held," 83,547 ",2011
4677,IN,SGS-UKL1390925091.82,17/9/14,Held," 103,977 ",2013
4677,IN,SGS-UKL1390925091.82,17/9/14,Held, 644 ,2012
168,BR,ICONTEC1400880405.58,15/9/14,Held," 48,040 ",2013
6120,LA,JACO1397466790.46,15/9/14,Held," 310,226 ",2013
6120,LA,JACO1397466790.46,15/9/14,Held," 51,947 ",2012
5164,VN,TECO1398071086.08,15/9/14,Held," 9,013 ",2012
5164,VN,TECO1398071086.08,15/9/14,Held," 20,979 ",2013
5730,CN,BVQI1397039454.91,12/9/14,Held," 112,164 ",2013
5730,CN,BVQI1397039454.91,12/9/14,Held," 49,954 ",2012
5713,CN,BVQI1397040570.74,12/9/14,Held," 65,866 ",2012
5713,CN,BVQI1397040570.74,12/9/14,Held," 117,541 ",2013
6580,CN,BVQI1400132873.82,12/9/14,Held," 38,199 ",2012
6580,CN,BVQI1400132873.82,12/9/14,Held," 95,652 ",2013
788,KR,KTRCert1395202193.83,12/9/14,Held," 21,503 ",2012
788,KR,KTRCert1395202193.83,12/9/14,Held," 23,647 ",2013
3611,IN,LRQA Ltd1327069189.62,12/9/14,Held," 31,664 ",2010
4091,CN,LRQA Ltd1393331543.67,12/9/14,Held," 168,120 ",2013
7070,VN,RWTUV1398329781.2,12/9/14,Held," 13,405 ",2013
7070,VN,RWTUV1398329781.2,12/9/14,Held," 3,690 ",2012
1268,IN,SGS-UKL1385977860.91,12/9/14,Held," 37,943 ",2013
1268,IN,SGS-UKL1385977860.91,12/9/14,Held," 13,523 ",2012
5921,IN,SGS-UKL1390922001.55,12/9/14,Held," 40,401 ",2013
5482,LS,TUEV-RHEIN1393812882.68,12/9/14,Held," 1,286 ",2012
5482,LS,TUEV-RHEIN1393812882.68,12/9/14,Held," 16,520 ",2013
3298,IN,LRQA Ltd1326962459.48,10/9/14,Held," 41,659 ",2010
3503,CN,BVQI1348558274.1,9/9/14,Held," 83,847 ",2011
4147,CR,LRQA Ltd1395234555.35,9/9/14,Held," 75,167 ",2013
3958,BR,RWTUV1393579762.37,9/9/14,Held," 1,181 ",2011
3958,BR,RWTUV1393579762.37,9/9/14,Held," 103,451 ",2013
3503,CN,BVQI1393839732.88,5/9/14,Held," 49,173 ",2012
3503,CN,BVQI1393839732.88,5/9/14,Held," 130,352 ",2013
4882,CN,BVQI1400074231.08,5/9/14,Held," 54,191 ",2012
4882,CN,BVQI1400074231.08,5/9/14,Held," 102,587 ",2013
4337,CL,CarbonCheck_Cert1335446038.69,5/9/14,Held," 13,809 ",2011
1247,BR,Germanischer1352991744.31,5/9/14,Held," 205,054 ",2009
2344,CN,RWTUV1324279050.68,5/9/14,Held," 102,619 ",2011
5115,VN,RWTUV1397450780.35,5/9/14,Held," 170,580 ",2013
5115,VN,RWTUV1397450780.35,5/9/14,Held," 145,025 ",2012
1891,CN,SGS-UKL1386688080.71,5/9/14,Held," 70,436 ",2012
6393,VN,RWTUV1396853863.79,1/9/14,Held," 3,171 ",2012
6393,VN,RWTUV1396853863.79,1/9/14,Held," 10,185 ",2013
2637,VN,DNV-CUK1338386349.12,29/8/14,Held," 14,101 ",2010
2658,TH,JCI1324427753.52,29/8/14,Held," 13,424 ",2009
2475,KR,KFQ1308299970.66,29/8/14,Held," 12,831 ",2009
458,CL,SGS-UKL1335266129.51,29/8/14,Held," 759,466 ",2009
1880,CN,TUEV-RHEIN1380523230.75,29/8/14,Held," 176,573 ",2013
165,BR,RINA1394809824.38,28/8/14,Held," 148,977 ",2012
165,BR,RINA1394809824.38,28/8/14,Held," 470,884 ",2013
586,TN,TUEV-SUED1340895931.93,28/8/14,Held," 27,891 ",2011
6176,CN,RINA1396344294.47,27/8/14,Held," 143,923 ",2012
6176,CN,RINA1396344294.47,27/8/14,Held," 648,528 ",2013
258,CL,SGS-UKL1378303696.08,27/8/14,Held," 193,653 ",2011
1059,IN,RWTUV1397453013.7,25/8/14,Held," 5,187 ",2013
1240,MX,AENOR1300816132.17,22/8/14,Held," 71,768 ",2009
453,PH,AENOR1391501369.23,22/8/14,Held," 22,440 ",2012
453,PH,AENOR1391501369.23,22/8/14,Held," 14,299 ",2013
2640,VN,DNV-CUK1380005934.45,22/8/14,Held," 26,987 ",2010
2640,VN,DNV-CUK1380005934.45,22/8/14,Held," 9,539 ",2013
1506,BR,RWTUV1368017435.61,22/8/14,Held," 233,619 ",2011
1506,BR,RWTUV1368017435.61,22/8/14,Held," 86,886 ",2013
4577,VN,RWTUV1392012792.64,22/8/14,Held," 30,448 ",2013
3824,CN,TUEV-RHEIN1396579438.93,22/8/14,Held," 15,770 ",2012
3824,CN,TUEV-RHEIN1396579438.93,22/8/14,Held," 38,699 ",2013
6338,CN,TUEV-RHEIN1397034802.24,22/8/14,Held," 95,926 ",2013
2047,CN,BVQI1397036130.42,20/8/14,Held," 68,393 ",2013
2047,CN,BVQI1397036130.42,20/8/14,Held," 71,303 ",2012
490,EG,DNV-CUK1393574862.07,19/8/14,Held," 452,634 ",2013
6222,TH,poaiss160125980,15/8/14,Held," 10,711 ",2012
6222,TH,poaiss160125980,15/8/14,Held," 2,072 ",2012
6797,ZA,CarbonCheck_Cert1372855393.68,15/8/14,Held," 3,038 ",2013
6797,ZA,CarbonCheck_Cert1372855393.68,15/8/14,Held," 25,268 ",2012
6797,ZA,CarbonCheck_Cert1372855393.68_2,15/8/14,Held," 22,230 ",2013
673,ID,DNV-CUK1395650657.21,15/8/14,Held," 263,040 ",2013
2661,TH,SIRIM1381219002.96,15/8/14,Held," 124,417 ",2011
6987,CN,TUEV-RHEIN1387529604.85,15/8/14,Held," 85,344 ",2013
6987,CN,TUEV-RHEIN1387529604.85,15/8/14,Held," 11,255 ",2012
4715,CN,BVQI1399282986.72,14/8/14,Held," 55,818 ",2012
4715,CN,BVQI1399282986.72,14/8/14,Held," 112,915 ",2013
2040,CN,BVQI1399283471.65,14/8/14,Held," 57,057 ",2012
2040,CN,BVQI1399283471.65,14/8/14,Held," 114,422 ",2013
8442,IN,SGS-UKL1389975121.69,13/8/14,Held," 4,895 ",2012
8442,IN,SGS-UKL1389975121.69,13/8/14,Held," 74,043 ",2013
6125,CN,TUEV-RHEIN1387528600.53,13/8/14,Held," 62,959 ",2012
6125,CN,TUEV-RHEIN1387528600.53,13/8/14,Held," 82,326 ",2013
941,KR,emc1382946821.77,13/8/14,Held," 535,479 ",2013
941,KR,emc1382946821.77,13/8/14,Held," 502,610 ",2012
5029,CN,RINA1392839340.29,12/8/14,Held," 25,779 ",2012
5029,CN,RINA1392839340.29,12/8/14,Held," 178,970 ",2013
6848,CL,RWTUV1390469416.13,12/8/14,Held," 165,296 ",2013
6848,CL,RWTUV1390469416.13,12/8/14,Held," 153,657 ",2012
5852,CO,ICONTEC1360613601.34,8/8/14,Held," 22,323 ",2012
2185,MY,RWTUV1376646279.93,8/8/14,Held," 48,296 ",2011
4676,BR,RWTUV1396245087.47,8/8/14,Held," 33,156 ",2013
4676,BR,RWTUV1396245087.47,8/8/14,Held," 22,576 ",2012
4828,IN,BVQI1336556937.65,7/8/14,Held," 342,818 ",2011
3194,CN,BVQI1390993838.45,5/8/14,Held," 368,150 ",2011
3194,CN,BVQI1390993838.45,5/8/14,Held," 136,958 ",2013
5947,BR,RINA1384431229.0,1/8/14,Held," 113,865 ",2013
6012,VN,RWTUV1395669449.48,1/8/14,Held," 16,172 ",2012
6012,VN,RWTUV1395669449.48,1/8/14,Held," 27,498 ",2013
5181,CN,TUEV-RHEIN1395911616.09,1/8/14,Held," 132,678 ",2013
28,HN,RWTUV1398229954.41,31/7/14,Held," 59,533 ",2011
28,HN,RWTUV1398229954.41,31/7/14,Held," 11,719 ",2013
3223,IN,poaiss924036908,29/7/14,Held," 653,203 ",2010
958,IN,BVQI1351510759.51,29/7/14,Held," 52,803 ",2009
242,BR,BVQI1385957032.19,29/7/14,Held," 17,929 ",2013
242,BR,BVQI1385957032.19,29/7/14,Held," 50,486 ",2010
982,IN,DNV-CUK1388996217.79,29/7/14,Held," 38,543 ",2012
982,IN,DNV-CUK1388996217.79,29/7/14,Held," 32,913 ",2013
290,KR,JACO1390377721.39,29/7/14,Held," 23,342 ",2013
5928,IN,SGS-UKL1376989848.59,29/7/14,Held," 33,440 ",2013
5928,IN,SGS-UKL1376989848.59,29/7/14,Held," 26,932 ",2012
5096,IN,SGS-UKL1383216521.27,29/7/14,Held," 11,582 ",2011
5096,IN,SGS-UKL1383216521.27,29/7/14,Held," 4,449 ",2013
385,MY,KBS_Cert1391174267.77,25/7/14,Held," 472,282 ",2013
386,MY,KBS_Cert1391174555.34,25/7/14,Held," 471,444 ",2013
4021,ID,TUEV-RHEIN1395034968.09,25/7/14,Held," 30,899 ",2013
6348,CN,China Quality1390543826.74,22/7/14,Held," 639,332 ",2013
1885,ID,RWTUV1390480476.12,22/7/14,Held," 6,351 ",2013
2149,CN,CEC1394546499.98,21/7/14,Held," 64,792 ",2013
2149,CN,CEC1394546499.98,21/7/14,Held," 11,558 ",2012
85,LK,DNV-CUK1372231534.55,21/7/14,Held," 125,804 ",2010
332,IN,DNV-CUK1388995429.21,21/7/14,Held," 15,992 ",2012
332,IN,DNV-CUK1388995429.21,21/7/14,Held," 13,914 ",2013
8102,IN,SGS-UKL1389976121.8,21/7/14,Held," 5,393 ",2012
8102,IN,SGS-UKL1389976121.8,21/7/14,Held," 85,234 ",2013
7455,MY,SIRIM1375690054.74,21/7/14,Held, 25 ,2012
7455,MY,SIRIM1375690054.74,21/7/14,Held, 47 ,2013
5977,MN,KEMCO1394066854.34,18/7/14,Held," 54,422 ",2013
1026,TH,SGS-UKL1216027750.38,18/7/14,Held," 33,913 ",2007
3588,CN,Applus1392896308.45,17/7/14,Held," 53,579 ",2013
3588,CN,Applus1392896308.45,17/7/14,Held," 50,837 ",2011
5851,CN,CEC1394528098.93,17/7/14,Held," 70,569 ",2012
5851,CN,CEC1394528098.93,17/7/14,Held," 108,624 ",2013
363,KH,PJR CDM1347626738.58,17/7/14,Held," 3,753 ",2011
1225,CN,SGS-UKL1369836587.34,17/7/14,Held," 502,922 ",2009
3995,CO,SGS-UKL1385396755.0,17/7/14,Held," 99,959 ",2013
3995,CO,SGS-UKL1385396755.0,17/7/14,Held," 36,634 ",2012
5310,VN,TECO1394540539.58,17/7/14,Held," 38,537 ",2013
6022,CN,TUEV-RHEIN1394089861.43,17/7/14,Held," 139,031 ",2013
6022,CN,TUEV-RHEIN1394089861.43,17/7/14,Held," 50,747 ",2012
290,KR,JACO1390377939.72,16/7/14,Held," 24,635 ",2013
7791,IN,SGS-UKL1384857009.15,15/7/14,Held," 10,170 ",2013
7791,IN,SGS-UKL1384857009.15,15/7/14,Held," 3,115 ",2012
85,LK,DNV-CUK1265284603.43,14/7/14,Held," 55,448 ",2008
4478,IN,TUEV-RHEIN1388726954.5,14/7/14,Held," 2,141 ",2012
4478,IN,TUEV-RHEIN1388726954.5,14/7/14,Held," 13,558 ",2013
3706,EG,AENOR1314176590.22,11/7/14,Held," 28,028 ",2011
6152,CN,BVQI1390572937.6,11/7/14,Held," 85,465 ",2012
6152,CN,BVQI1390572937.6,11/7/14,Held," 230,489 ",2013
1253,IN,CRA1391526214.17,11/7/14,Held," 21,982 ",2013
887,CN,ERM-CVS1384266671.04,11/7/14,Held," 434,278 ",2013
887,CN,ERM-CVS1384266671.04,11/7/14,Held," 174,701 ",2012
7103,IN,RWTUV1393951189.32,11/7/14,Held," 19,377 ",2012
7103,IN,RWTUV1393951189.32,11/7/14,Held," 67,480 ",2013
127,IN,SGS-UKL1382959530.44,11/7/14,Held," 19,794 ",2012
127,IN,SGS-UKL1382959530.44,11/7/14,Held," 80,844 ",2013
6787,TH,Germanischer1391415840.75,10/7/14,Held," 5,878 ",2013
3783,IN,LRQA Ltd1330430503.48,10/7/14,Held," 12,506 ",2010
2093,CN,CEC1394546078.48,7/7/14,Held," 120,521 ",2013
2093,CN,CEC1394546078.48,7/7/14,Held," 46,392 ",2012
915,IN,DNV-CUK1343806299.23,7/7/14,Held," 42,950 ",2011
1247,BR,Germanischer1264585113.62,4/7/14,Held," 71,487 ",2008
5584,HN,RWTUV1391762994.42,4/7/14,Held," 203,540 ",2013
5584,HN,RWTUV1391762994.42,4/7/14,Held," 23,657 ",2012
2866,CN,ReConsultCert1392368275.13,4/7/14,Held," 199,158 ",2013
1046,CN,TUEV-RHEIN1390805460.65,4/7/14,Held," 27,205 ",2013
349,KR,Korean Standards Association1389949392.84,3/7/14,Held," 153,816 ",2013
1352,IN,RWTUV1341295203.28,3/7/14,Held," 326,499 ",2011
806,IN,DNV-CUK1335517051.5,2/7/14,Held," 16,682 ",2010
2516,CN,ERM-CVS1366278960.58,2/7/14,Held," 43,075 ",2011
3101,CN,ERM-CVS1375870209.03,2/7/14,Held," 40,669 ",2012
4544,VN,RWTUV1392012873.35,2/7/14,Held," 33,009 ",2013
5380,IN,RINA1394092830.71,1/7/14,Held," 51,017 ",2013
2761,BO,RWTUV1360835257.13,30/6/14,Held," 192,397 ",2010
1907,IN,DNV-CUK1381921172.83,27/6/14,Held," 6,916 ",2013
1907,IN,DNV-CUK1381921172.83,27/6/14,Held," 27,863 ",2010
7756,GE,RWTUV1378634876.1,27/6/14,Held," 134,727 ",2013
4549,CN,Applus1393250254.09,26/6/14,Held," 154,508 ",2012
4549,CN,Applus1393250254.09,26/6/14,Held," 141,085 ",2013
85,LK,DNV-CUK1242015709.37,26/6/14,Held," 75,014 ",2007
545,ZA,DNV-CUK1393248896.88,26/6/14,Held," 6,879 ",2012
545,ZA,DNV-CUK1393248896.88,26/6/14,Held," 27,058 ",2013
8,BR,RWTUV1393489377.83,26/6/14,Held," 112,004 ",2013
2848,CN,ReConsultCert1392368102.93,25/6/14,Held," 122,631 ",2013
2867,IN,LRQA Ltd1392128889.5,24/6/14,Held," 55,736 ",2013
4211,BR,DNV-CUK1389565187.66,20/6/14,Held," 374,294 ",2013
2648,IN,KBS_Cert1374223343.65,20/6/14,Held," 2,776 ",2011
3766,IN,KBS_Cert1377529475.01,20/6/14,Held," 25,853 ",2011
2648,IN,KBS_Cert1384332683.3,20/6/14,Held, 977 ,2013
2648,IN,KBS_Cert1384332683.3,20/6/14,Held, 877 ,2012
1787,CL,RWTUV1363255185.86,20/6/14,Held," 88,824 ",2011
2845,CN,ReConsultCert1391586775.88,20/6/14,Held," 99,219 ",2013
767,CN,SGS-UKL1390818254.15,20/6/14,Held," 1,460,005 ",2013
1950,SG,TUEV-RHEIN1346059799.99,20/6/14,Held," 16,870 ",2010
3071,CN,CTI1387960829.54,18/6/14,Held," 28,357 ",2013
3071,CN,CTI1387960829.54,18/6/14,Held," 42,374 ",2012
4985,IN,BVQI1363173270.16,17/6/14,Held," 15,673 ",2011
8606,IN,RINA1390994307.16,17/6/14,Held," 1,275 ",2012
8606,IN,RINA1390994307.16,17/6/14,Held," 78,499 ",2013
2840,CN,ReConsultCert1391587068.75,17/6/14,Held," 168,380 ",2013
673,ID,DNV-CUK1385452717.75,13/6/14,Held," 346,094 ",2013
2585,MX,ERM-CVS1378823376.61,13/6/14,Held," 155,803 ",2013
2585,MX,ERM-CVS1378823376.61,13/6/14,Held," 29,674 ",2012
8598,CN,ERM-CVS1381709777.45,13/6/14,Held," 318,596 ",2013
8598,CN,ERM-CVS1381709777.45,13/6/14,Held," 34,196 ",2012
222,KR,JACO1389235638.28,13/6/14,Held," 158,719 ",2013
1259,IN,SGS-UKL1385979963.84,13/6/14,Held," 19,227 ",2012
1259,IN,SGS-UKL1385979963.84,13/6/14,Held," 96,400 ",2013
287,IN,TUEV-RHEIN1373613816.09,13/6/14,Held," 281,501 ",2009
1573,IN,RWTUV1386918013.72,12/6/14,Held," 3,431 ",2013
1573,IN,RWTUV1386918013.72,12/6/14,Held," 38,245 ",2011
8324,IN,RWTUV1389167110.35,12/6/14,Held," 8,790 ",2012
8324,IN,RWTUV1389167110.35,12/6/14,Held," 80,746 ",2013
4249,IN,BVQI1366631836.69,11/6/14,Held," 29,511 ",2011
5205,IN,LRQA Ltd1359709197.45,9/6/14,Held," 7,359 ",2011
5879,CN,RINA1387283042.24,9/6/14,Held," 65,164 ",2013
5879,CN,RINA1387283042.24,9/6/14,Held," 47,092 ",2012
5384,IN,SGS-UKL1366967326.68,9/6/14,Held, 188 ,2013
5384,IN,SGS-UKL1366967326.68,9/6/14,Held," 19,356 ",2012
3399,CN,BVQI1390573494.5,6/6/14,Held," 181,186 ",2013
350,IN,TUEV-RHEIN1385372628.24,6/6/14,Held," 891,212 ",2006
5082,TH,Germanischer1389258610.32,5/6/14,Held," 64,922 ",2013
5082,TH,Germanischer1389258610.32,5/6/14,Held," 57,906 ",2012
7783,KE,RWTUV1377248423.03,5/6/14,Held," 39,141 ",2013
7783,KE,RWTUV1377248423.03,5/6/14,Held," 8,168 ",2012
121,IN,TUEV-RHEIN1385532759.0,5/6/14,Held," 21,118 ",2011
121,IN,TUEV-RHEIN1385532759.0,5/6/14,Held," 9,451 ",2013
4771,CN,Applus1380190178.79,4/6/14,Held," 24,606 ",2013
4771,CN,Applus1380190178.79,4/6/14,Held," 29,566 ",2012
3511,IN,DNV-CUK1333614613.44,3/6/14,Held," 14,407 ",2010
2470,IN,LRQA Ltd1392129308.6,3/6/14,Held," 17,252 ",2012
2470,IN,LRQA Ltd1392129308.6,3/6/14,Held," 32,925 ",2013
99,KR,TUEV-SUED1385542638.33,3/6/14,Held," 1,598,656 ",2013
2105,CN,JCI1390375765.95,2/6/14,Held," 136,547 ",2012
2105,CN,JCI1390375765.95,2/6/14,Held," 189,949 ",2013
5101,HN,RWTUV1367302952.69,2/6/14,Held," 14,856 ",2011
3307,CN,URSCert1365598488.79,2/6/14,Held," 573,295 ",2011
2221,CN,TUEV-RHEIN1384337865.13,28/5/14,Held," 55,106 ",2012
33,CL,AENOR1374498760.92,23/5/14,Held," 717,881 ",2008
3864,CN,Applus1383562438.18,23/5/14,Held," 19,393 ",2012
3864,CN,Applus1383562438.18,23/5/14,Held," 14,692 ",2013
5640,CN,BVQI1368174231.3,23/5/14,Held," 46,750 ",2013
5640,CN,BVQI1368174231.3,23/5/14,Held," 28,218 ",2012
6559,CN,CTI1391354985.82,23/5/14,Held," 1,652 ",2012
6559,CN,CTI1391354985.82,23/5/14,Held," 41,150 ",2013
597,PA,DNV-CUK1334152028.66,23/5/14,Held," 69,614 ",2010
528,IN,DNV-CUK1385729143.57,23/5/14,Held," 41,935 ",2013
528,IN,DNV-CUK1385729143.57,23/5/14,Held," 21,906 ",2012
888,BR,DNV-CUK1389650053.21,23/5/14,Held," 429,046 ",2013
5176,UZ,ERM-CVS1384309796.8,23/5/14,Held," 229,377 ",2012
5176,UZ,ERM-CVS1384309796.8,23/5/14,Held," 796,542 ",2013
3050,CN,Germanischer1390550766.02,23/5/14,Held," 595,191 ",2011
2938,TH,JQA1351215289.55,23/5/14,Held," 25,978 ",2010
7345,CN,RINA1385390652.19,23/5/14,Held," 1,969 ",2012
7345,CN,RINA1385390652.19,23/5/14,Held," 7,585 ",2013
4585,IN,SGS-UKL1369123213.37,23/5/14,Held," 13,881 ",2011
4585,IN,SGS-UKL1369123213.37,23/5/14,Held," 1,846 ",2013
3555,PK,TUEV-SUED1365773407.26,22/5/14,Held," 51,318 ",2010
6610,IN,SGS-UKL1359044983.31,21/5/14,Held," 7,656 ",2012
3069,CN,CTI1384414440.97,16/5/14,Held," 152,767 ",2011
3795,IN,KBS_Cert1377264076.59,16/5/14,Held," 20,635 ",2011
