PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PoA,7359,KE,KBS,EE households,Stoves,poaiss662475883~KE,2/4/20,1/7/18,31/5/19," 150,998 ",2,6,21Jun2023
PA,10239,LA,LGAI,Hydro,New dam,Applus1571642226.45,2/4/20,11/5/16,25/9/19," 108,139 ",2,1,21Jun2023
PA,6817,OM,CCCI,Fugitive,Oil field flaring reduction,CCCI_DOE1574421680.88,2/4/20,1/7/19,15/11/19," 161,480 ",2,2,21Jun2023
PA,8918,CO,Earthood,Methane avoidance,Composting,ESPL1561091300.86,2/4/20,1/1/13,31/5/19," 76,099 ",2,1,21Jun2023
PA,6830,TH,KBS,Solar,Solar PV,KBS_Cert1574752253.89,2/4/20,1/2/18,31/10/19," 56,886 ",2,4,21Jun2023
PA,7070,VN,TUV NORD,Biomass Energy,Bagasse power,RWTUV1574082137.29,2/4/20,1/9/18,31/8/19," 27,932 ",2,7,21Jun2023
PA,4550,VN,RINA,Hydro,Existing dam,RINA1568983533.12,1/4/20,2/6/18,31/8/19," 55,578 ",2,5,21Jun2023
PA,362,IN,LGAI,Biomass Energy,Agricultural residues: rice husk,Applus1561717203.15,30/3/20,1/5/17,14/4/18," 11,669 ",2,13,21Jun2023
PA,1314,CR,TUV NORD,Biomass Energy,Palm oil solid waste,RWTUV1550561712.33,30/3/20,30/11/14,30/11/18," 134,383 ",2,9,21Jun2023
PoA,8142,MN,Earthood,EE households,Appliances,poaiss743590138~MN,26/3/20,1/5/18,30/4/19," 43,227 ",2,5,21Jun2023
PoA,8142,MN,Earthood,EE households,Appliances,poaiss726120139~MN,26/3/20,1/5/18,30/4/19," 44,214 ",2,5,21Jun2023
PA,7783,KE,AENOR,Hydro,Existing dam,AENOR1550577410.81,26/3/20,1/7/13,30/9/18," 123,160 ",2,2,21Jun2023
PA,5161,IN,LGAI,Hydro,Run of river,Applus1547627894.13,26/3/20,1/1/13,1/1/19," 54,672 ",2,1,21Jun2023
PA,5484,BR,ICONTEC,Methane avoidance,Manure,ICONTEC1573671510.45,26/3/20,1/1/19,5/11/19," 44,479 ",2,6,21Jun2023
PA,5492,BR,ICONTEC,Methane avoidance,Manure,ICONTEC1573671608.05,26/3/20,1/1/19,31/10/19," 38,958 ",2,6,21Jun2023
PA,362,IN,LGAI,Biomass Energy,Agricultural residues: rice husk,Applus1561717097.9,25/3/20,1/5/16,30/4/17," 21,404 ",2,12,21Jun2023
PA,9,HN,Earthood,Hydro,Run of river,ESPL1559639175.37,20/3/20,26/7/17,31/12/18," 30,561 ",2,11,21Jun2023
PA,922,KR,KFQ,N2O,Nitric acid,KFQ1554957772.32,20/3/20,1/9/17,31/12/18," 405,165 ",2,13,21Jun2023
PA,6559,CN,CTI,Hydro,Run of river,CTI1570871652.11,19/3/20,1/6/18,30/9/19," 30,541 ",2,6,21Jun2023
PA,2640,VN,Earthood,Methane avoidance,Waste water,ESPL1563430313.44,19/3/20,14/5/18,12/4/19," 31,535 ",2,4,21Jun2023
PA,6637,KR,KFQ,N2O,Nitric acid,KFQ1572940828.73,19/3/20,19/8/19,27/10/19," 65,949 ",2,17,21Jun2023
PA,4531,IN,RINA,Reforestation,Agroforestry,RINA1536308460.04,18/3/20,1/1/13,30/6/18," 62,756 ",2,2,21Jun2023
PA,10363,IN,LGAI,Wind,Wind,Applus1560246283.93,17/3/20,25/4/17,31/5/19," 59,188 ",2,1,21Jun2023
PA,5023,KE,AENOR,Hydro,Existing dam,AENOR1550578853.59,13/3/20,1/1/13,30/9/18," 57,458 ",2,2,21Jun2023
PA,4211,BR,Earthood,Landfill gas,Landfill power,ESPL1551095329.76,13/3/20,8/7/18,31/1/19," 147,441 ",2,13,21Jun2023
PA,2636,VN,Earthood,Methane avoidance,Waste water,ESPL1563432798.11,13/3/20,10/3/18,27/3/19," 35,516 ",2,7,21Jun2023
PA,5977,MN,KEMCO,Wind,Wind,KEMCO1566193881.54,13/3/20,1/1/19,30/6/19," 81,484 ",2,12,21Jun2023
PA,775,UG,AENOR,Hydro,Run of river,AENOR1532334017.26,12/3/20,1/1/15,31/12/17," 31,925 ",2,5,21Jun2023
PA,1247,BR,EPIC,Landfill gas,Landfill flaring,EPIC_Sust1562823104.86,12/3/20,1/4/18,31/3/19," 92,292 ",2,4,21Jun2023
PA,765,KR,KFQ,N2O,Nitric acid,KFQ1572942016.65,12/3/20,19/8/19,27/10/19," 259,810 ",2,43,21Jun2023
PA,8491,GE,TUV SUD,Hydro,Run of river,TUEV-SUED1563257453.93,12/3/20,31/1/16,31/12/18," 256,085 ",2,1,21Jun2023
PA,7731,MM,TUV SUD,Hydro,New dam,TUEV-SUED1570602173.5,12/3/20,1/1/16,31/12/18," 2,034,499 ",2,2,21Jun2023
PA,1491,BR,EPIC,Landfill gas,Landfill flaring,EPIC_Sust1562823243.95,10/3/20,1/4/18,31/3/19," 100,611 ",2,3,21Jun2023
PA,2856,IN,KBS,Wind,Wind,KBS_Cert1549630698.53,6/3/20,1/7/14,28/2/17," 219,787 ",2,5,21Jun2023
PoA,5342,GH,Earthood,EE households,Stoves,poaiss44258902~GH,5/3/20,25/10/17,30/6/19," 2,855 ",2,6,21Jun2023
PA,4665,KR,CCSC,N2O,Caprolactam,CCSC_DOE1568798428.85,5/3/20,1/11/18,30/4/19," 166,322 ",2,11,21Jun2023
PA,1179,BR,EPIC,Landfill gas,Landfill flaring,EPIC_Sust1562822823.51,5/3/20,1/4/18,31/3/19," 31,544 ",2,4,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss565348365~IN,3/3/20,27/12/18,25/7/19," 18,190 ",2,9,21Jun2023
PoA,8855,IN,Earthood,Solar,Solar water heating,poaiss286424720~IN,3/3/20,1/4/18,31/3/19," 126,475 ",2,5,21Jun2023
PA,404,BR,RINA,Biomass Energy,Forest residues: sawmill waste,RINA1555516207.81,2/3/20,1/10/11,31/12/12," 8,384 ",1,9,21Jun2023
PA,404,BR,RINA,Biomass Energy,Forest residues: sawmill waste,RINA1555516207.81,2/3/20,1/1/13,30/9/18," 45,877 ",2,9,21Jun2023
PA,10398,BF,LGAI,Solar,Solar PV,Applus1565174567.59,19/2/20,1/6/18,31/5/19," 19,119 ",2,1,21Jun2023
PoA,9889,NP,EPIC,Hydro,Run of river,poaiss217334348~NP,13/2/20,1/1/18,31/12/18," 10,754 ",2,2,21Jun2023
PA,7627,UY,ERM CVS,Wind,Wind,ERM-CVS1564505092.84,13/2/20,1/11/17,31/10/18," 72,138 ",2,5,21Jun2023
PA,7799,BR,Earthood,Landfill gas,Landfill power,ESPL1567673101.59,13/2/20,1/4/18,30/6/19," 157,778 ",2,1,21Jun2023
PA,2600,CO,ICONTEC,Hydro,Run of river,ICONTEC1565730810.44,13/2/20,1/1/13,17/11/17," 76,394 ",2,2,21Jun2023
PA,2600,CO,ICONTEC,Hydro,Run of river,ICONTEC1565730810.44,13/2/20,1/9/12,31/12/12," 2,574 ",1,2,21Jun2023
PA,6411,BR,ICONTEC,Methane avoidance,Manure,ICONTEC1571253073.29,13/2/20,1/1/19,17/6/19," 25,233 ",2,7,21Jun2023
PA,6973,GT,LGAI,Wind,Wind,Applus1537872103.65,10/2/20,19/4/15,31/7/18," 286,006 ",2,1,21Jun2023
PA,7981,IN,No info,Wind,Wind,slenzen1552989570.98,6/2/20,1/1/17,31/1/19," 102,514 ",2,1,21Jun2023
PA,1883,KR,KTR,Solar,Solar PV,KTRCert1559898771.68,5/2/20,1/1/15,13/1/19," 2,405 ",2,6,21Jun2023
PA,7895,IN,LGAI,Wind,Wind,Applus1551360564.02,31/1/20,1/1/17,31/1/19," 135,322 ",2,1,21Jun2023
PA,3005,CN,CCCI,Wind,Wind,CCCI_DOE1568640553.32,31/1/20,1/1/13,31/12/13," 381,720 ",2,3,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss84328918~IN,30/1/20,27/12/18,25/7/19, 813 ,2,9,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss777963705~IN,30/1/20,21/6/18,26/12/18," 7,624 ",2,8,21Jun2023
PoA,6198,PE,Carbon Check,Hydro,Run of river,poaiss880487017~PE,30/1/20,1/1/18,31/12/18," 4,586 ",2,5,21Jun2023
PA,2554,CO,ICONTEC,Landfill gas,Landfill flaring,ICONTEC1510340087.41,27/1/20,1/4/17,31/10/18," 511,964 ",2,14,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss968707388~IN,23/1/20,27/12/18,25/7/19," 37,667 ",2,9,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss939256066~IN,23/1/20,21/12/17,20/6/18," 9,585 ",2,7,21Jun2023
PA,349,KR,KFQ,Tidal,Tidal,KFQ1567477050.39,23/1/20,1/1/19,30/6/19," 119,202 ",2,15,21Jun2023
PA,168,BR,RINA,Biomass Energy,Forest residues: other,RINA1564656581.41,23/1/20,1/1/18,31/12/18," 30,478 ",2,13,21Jun2023
PA,3334,TH,RINA,Methane avoidance,Waste water,RINA1566468576.48,23/1/20,1/2/18,9/7/18," 1,688 ",2,2,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss740622192~IN,22/1/20,27/12/18,25/7/19," 32,839 ",2,9,21Jun2023
PA,1713,PK,RINA,Hydro,Run of river,RINA1528794412.01,20/1/20,1/1/15,28/10/16," 15,276 ",2,4,21Jun2023
PA,10162,PK,LGAI,Wind,Wind,Applus1551690298.62,16/1/20,11/4/17,28/2/19," 151,029 ",2,1,21Jun2023
PoA,10268,ET,TUV NORD,Biomass Energy,Gasification of biomass,poaiss358113293~ET,15/1/20,1/4/16,31/3/18," 34,480 ",2,1,21Jun2023
PoA,2898,CN,CTI,Methane avoidance,Domestic manure,poaiss354092458~CN,15/1/20,1/1/18,31/12/18," 822,520 ",2,7,21Jun2023
PA,297,SV,AENOR,Geothermal,Geothermal electricity,AENOR1545395854.92,8/1/20,1/1/15,31/12/15," 140,653 ",2,9,21Jun2023
PoA,6161,IN,LGAI,Hybrid renewables,Solar & wind & hydro,poaiss39319144~IN,6/1/20,24/9/12,30/9/18," 18,437 ",2,1,21Jun2023
PA,4147,CR,TUV NORD,Wind,Wind,RWTUV1555572843.4,3/1/20,1/1/18,31/12/18," 86,340 ",2,8,21Jun2023
PoA,7997,KE,TUV NORD,EE households,Stoves,poaiss767844015~KE,2/1/20,30/12/12,31/12/18," 57,289 ",1,1,21Jun2023
PA,8761,KH,CCSC,Hydro,Run of river,CCSC_DOE1552616295.83,2/1/20,28/12/16,27/12/18," 1,342,983 ",2,3,21Jun2023
PA,735,CO,ICONTEC,Hydro,Run of river,ICONTEC1559927253.53,2/1/20,1/1/18,31/12/18," 73,285 ",2,10,21Jun2023
PA,6637,KR,KFQ,N2O,Nitric acid,KFQ1568023008.93,2/1/20,27/5/19,18/8/19," 77,092 ",2,16,21Jun2023
PA,765,KR,KFQ,N2O,Nitric acid,KFQ1568023295.16,2/1/20,27/5/19,18/8/19," 320,175 ",2,42,21Jun2023
PoA,9558,MW,LGAI,EE households,Stoves,poaiss675600273~MW,27/12/19,16/4/18,15/4/19," 168,158 ",2,5,21Jun2023
PA,8244,MD,AENOR,Afforestation,Afforestation,AENOR1533728135.06,27/12/19,1/1/13,31/12/17," 695,097 ",2,2,21Jun2023
PA,8103,IN,LGAI,Wind,Wind,Applus1553076082.94,27/12/19,1/1/17,28/2/19," 31,407 ",2,1,21Jun2023
PA,4294,KR,KEMCO,Landfill gas,Landfill power,KEMCO1562724718.17,27/12/19,1/1/18,31/12/18," 19,821 ",2,5,21Jun2023
PA,5305,NI,TUV NORD,Wind,Wind,RWTUV1539238854.74,27/12/19,1/7/17,30/9/18," 79,947 ",2,7,21Jun2023
PA,10403,IN,Earthood,Solar,Solar PV,ESPL1556686389.38,23/12/19,6/11/17,1/4/19," 201,309 ",2,1,21Jun2023
PA,10236,CO,ICONTEC,Hydro,New dam,ICONTEC1513721645.1,20/12/19,15/6/16,14/6/17," 1,223,138 ",2,1,21Jun2023
PoA,8060,ZM,LGAI,EE households,Stoves,poaiss237688024~ZM,19/12/19,1/5/18,30/4/19," 149,479 ",2,4,21Jun2023
PA,3558,MG,LGAI,Hydro,Run of river,Applus1562602321.74,19/12/19,1/6/18,30/6/19," 46,219 ",2,3,21Jun2023
PA,8101,ID,RINA,Methane avoidance,Waste water,RINA1502362550.99,19/12/19,1/1/13,31/12/16," 109,191 ",2,2,21Jun2023
PA,1506,BR,LGAI,Landfill gas,Landfill flaring,sleyh1563531122.32,18/12/19,25/7/18,30/4/19," 51,790 ",2,5,21Jun2023
PA,2341,CO,ICONTEC,Methane avoidance,Waste water,ICONTEC1408455919.93,13/12/19,14/9/10,31/10/12," 77,043 ",1,1,21Jun2023
PA,5496,BR,ICONTEC,Methane avoidance,Manure,ICONTEC1563209038.8,13/12/19,1/10/18,11/6/19," 37,451 ",2,7,21Jun2023
PoA,5962,KE,CCSC,EE service,Water purification,poaiss888311562~KE,12/12/19,1/6/16,31/12/17," 340,822 ",2,4,21Jun2023
PA,6817,OM,CCCI,Fugitive,Oil field flaring reduction,CCCI_DOE1562323657.45,12/12/19,1/1/19,30/6/19," 212,267 ",2,1,21Jun2023
PA,8530,DO,TUV NORD,Solar,Solar PV,RWTUV1552916628.85,12/12/19,1/1/17,31/12/18," 62,485 ",2,2,21Jun2023
PA,604,GT,TUV NORD,Hydro,Run of river,RWTUV1564407031.75,12/12/19,1/1/16,31/12/18," 37,361 ",2,8,21Jun2023
PA,5494,BR,ICONTEC,Methane avoidance,Manure,ICONTEC1563208915.2,10/12/19,1/10/17,11/6/19," 99,578 ",2,6,21Jun2023
PA,171,BR,EPIC,Landfill gas,Landfill flaring,EPIC_Sust1564665834.33,6/12/19,1/1/19,30/6/19," 616,997 ",2,18,21Jun2023
PA,9,HN,Earthood,Hydro,Run of river,ESPL1558608040.73,6/12/19,1/1/17,31/5/17," 4,346 ",2,10,21Jun2023
PoA,9956,UG,Carbon Check,EE households,Stoves,poaiss40068894~UG,5/12/19,1/11/17,15/8/18," 163,456 ",2,4,21Jun2023
PoA,5962,KH,Earthood,EE service,Water purification,poaiss891130728~KH,5/12/19,1/1/18,31/12/18," 14,555 ",2,5,21Jun2023
PA,2315,NI,TUV NORD,Wind,Wind,RWTUV1539239021.32,2/12/19,1/7/17,30/9/18," 113,106 ",2,10,21Jun2023
PoA,6198,PE,Carbon Check,Hydro,Run of river,poaiss821607677~PE,28/11/19,1/1/18,31/12/18," 23,307 ",2,5,21Jun2023
PoA,2897,EG,AENOR,Transport,Scrapping old vehicles,poaiss31901388~EG,28/11/19,1/1/18,31/12/18," 28,973 ",2,4,21Jun2023
PA,10360,IN,LGAI,Solar,Solar PV,Applus1560514211.19,25/11/19,18/4/17,31/5/19," 16,361 ",2,1,21Jun2023
PA,10183,IN,Earthood,Hydro,Run of river,ESPL1558333144.87,25/11/19,1/1/18,31/3/19," 17,273 ",2,3,21Jun2023
PoA,10186,UG,TUV NORD,Energy distribution,Connection of isolated grid,poaiss431062098~UG,22/11/19,4/5/17,31/12/17," 26,536 ",2,2,21Jun2023
PA,2834,KR,KFQ,Landfill gas,Landfill power,KFQ1551750085.86,21/11/19,1/1/18,31/12/18," 33,646 ",2,9,21Jun2023
PA,10345,UG,KBS,EE households,Stoves,KBS_Cert1561957148.37,20/11/19,1/3/17,31/5/19," 8,457 ",2,1,21Jun2023
PA,7413,CN,CTC,Wind,Wind,CTCCCP1535444571.58,19/11/19,1/1/13,25/7/18," 354,923 ",2,1,21Jun2023
PoA,9948,KE,Earthood,EE service,Water purification,poaiss395134069~KE,18/11/19,23/5/17,22/5/19, 564 ,2,2,21Jun2023
PoA,9948,UG,Earthood,EE service,Water purification,poaiss263711546~UG,18/11/19,23/5/17,22/5/19, 92 ,2,2,21Jun2023
PA,851,KR,KTR,Landfill gas,Landfill power,KTRCert1547437167.33,14/11/19,19/8/17,18/8/18," 245,095 ",2,7,21Jun2023
PA,2469,CN,RINA,EE own generation,Iron & steel heat,RINA1553853364.28,14/11/19,26/12/17,25/12/18," 139,792 ",2,9,21Jun2023
PA,5036,CN,CTI,Wind,Wind,CTI1547805829.98,12/11/19,1/1/13,31/12/18," 556,972 ",2,1,21Jun2023
PA,10327,SN,Carbon Check,Solar,Solar PV,CarbonCheck_Cert1531367094.12,11/11/19,28/7/17,30/6/18," 28,992 ",2,1,21Jun2023
PoA,9572,NP,EPIC,Methane avoidance,Domestic manure,poaiss377206428~NP,7/11/19,1/8/17,31/7/18," 417,898 ",2,5,21Jun2023
PA,5662,AL,TUV NORD,Hydro,Existing dam,RWTUV1554128288.99,7/11/19,1/1/18,31/12/18," 97,300 ",2,6,21Jun2023
PA,1966,CN,LGAI,Hydro,Run of river,Applus1551353750.85,6/11/19,1/1/13,5/3/16," 223,585 ",2,1,21Jun2023
PA,2746,BT,KBS,Hydro,Run of river,KBS_Cert1555588310.35,6/11/19,1/1/18,31/12/18," 364,559 ",2,4,21Jun2023
PoA,9948,NG,Earthood,EE service,Water purification,poaiss7435384~NG,4/11/19,23/5/17,22/5/19," 1,011 ",2,2,21Jun2023
PoA,9977,BF,CTI,EE households,Biogas from MSW,poaiss562528801~BF,1/11/19,1/1/17,31/12/17," 19,637 ",2,2,21Jun2023
PoA,2898,CN,CTI,Methane avoidance,Domestic manure,poaiss915683403~CN,31/10/19,1/1/16,31/12/16," 816,778 ",2,5,21Jun2023
PA,6179,CN,CTI,Wind,Wind,CTI1547805577.99,31/10/19,1/7/13,31/12/18," 474,355 ",2,1,21Jun2023
PA,2711,NG,Carbon Check,EE households,Stoves,CarbonCheck_Cert1536918981.7,31/10/19,1/7/17,30/6/18," 12,090 ",2,8,21Jun2023
PA,2591,IN,Carbon Check,Methane avoidance,Domestic manure,CarbonCheck_Cert1550221382.59,31/10/19,1/1/17,31/12/18," 43,939 ",2,5,21Jun2023
PA,4174,IN,RINA,Reforestation,Reforestation,RINA1528269832.13,31/10/19,1/1/13,31/12/17," 162,752 ",2,2,21Jun2023
PA,6008,ID,TUV SUD,EE Industry,Petrochemicals,TUEV-SUED1563444597.56,31/10/19,1/5/19,30/6/19," 13,728 ",2,5,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss771480027~IN,24/10/19,21/6/17,20/12/17," 9,821 ",2,6,21Jun2023
PoA,9889,NP,EPIC,Hydro,Run of river,poaiss768177704~NP,23/10/19,9/9/15,31/12/17," 18,995 ",2,1,21Jun2023
PA,10368,SN,Carbon Check,Solar,Solar PV,CarbonCheck_Cert1531366679.28,18/10/19,20/11/17,30/6/18," 20,768 ",2,1,21Jun2023
PA,1602,IN,KBS,Wind,Wind,KBS_Cert1557485843.18,17/10/19,6/1/17,10/12/18," 25,028 ",2,5,21Jun2023
PA,3462,TH,TUV NORD,Landfill gas,Landfill power,RWTUV1539847935.31,17/10/19,21/1/18,31/10/18," 85,950 ",2,9,21Jun2023
PA,9613,IN,KBS,EE own generation,Iron & steel heat,KBS_Cert1539691890.38,16/10/19,23/4/14,31/1/17," 58,841 ",2,1,21Jun2023
PA,9740,IN,RINA,Wind,Wind,RINA1466158815.38,14/10/19,30/9/13,15/12/15," 30,406 ",2,1,21Jun2023
PA,6008,ID,TUV SUD,EE Industry,Petrochemicals,TUEV-SUED1558420066.33,14/10/19,1/1/19,30/4/19," 76,131 ",2,4,21Jun2023
PoA,9904,TZ,BVCH,Mixed renewables,Solar & wind & other,poaiss896398789~TZ,11/10/19,1/1/17,31/12/17," 19,871 ",2,2,21Jun2023
PA,10288,IN,LGAI,Solar,Solar PV,Applus1555924141.07,10/10/19,1/5/17,1/4/19," 36,393 ",2,2,21Jun2023
PA,1123,MX,ICONTEC,Landfill gas,Landfill power,ICONTEC1547761725.21,10/10/19,1/6/17,31/8/18," 173,935 ",2,7,21Jun2023
PA,2613,IN,KBS,Wind,Wind,KBS_Cert1557744958.83,10/10/19,4/1/17,2/1/19," 33,247 ",2,6,21Jun2023
PA,9610,IN,LGAI,Solar,Solar PV,Applus1555923672.8,9/10/19,1/2/16,1/4/19," 26,865 ",2,2,21Jun2023
PA,7553,ID,Earthood,Hydro,Run of river,ESPL1553070954.42,7/10/19,1/3/18,28/2/19," 16,322 ",2,3,21Jun2023
PA,10077,BD,TUV SUD,Fugitive,Natural gas pipelines,TUEV-SUED1549522402.64,7/10/19,29/1/17,22/12/18," 3,378,611 ",2,1,21Jun2023
PoA,9181,IN,KBS,EE households,Appliances,poaiss473931914~IN,4/10/19,21/6/18,26/12/18," 32,544 ",2,8,21Jun2023
PoA,10415,MM,LGAI,EE households,Stoves,poaiss555641230~MM,4/10/19,28/8/18,11/1/19, 148 ,2,1,21Jun2023
PoA,10186,UG,TUV NORD,Energy distribution,Connection of isolated grid,poaiss88185835~UG,4/10/19,28/8/15,3/5/17," 2,210 ",2,1,21Jun2023
PA,9293,IN,LGAI,Solar,Solar thermal power,Applus1557308434.69,4/10/19,1/4/18,31/3/19," 69,670 ",2,4,21Jun2023
PA,6797,ZA,Carbon Check,Landfill gas,Landfill power,CarbonCheck_Cert1541140345.02,4/10/19,1/9/14,31/3/18," 229,402 ",2,4,21Jun2023
PA,165,BR,EPIC,Landfill gas,Landfill flaring,EPIC_Sust1548049408.51,4/10/19,1/10/18,31/12/18," 94,142 ",2,25,21Jun2023
PA,7093,DO,ICONTEC,Wind,Wind,ICONTEC1535375456.33,4/10/19,1/1/13,31/12/17," 166,645 ",2,1,21Jun2023
PA,7100,DO,ICONTEC,Wind,Wind,ICONTEC1535470686.66,4/10/19,23/1/13,31/12/17," 469,886 ",2,1,21Jun2023
PA,3224,CO,ICONTEC,Transport,Cable cars,ICONTEC1537305041.89,4/10/19,1/5/12,31/12/12," 5,752 ",1,2,21Jun2023
PA,3224,CO,ICONTEC,Transport,Cable cars,ICONTEC1537305041.89,4/10/19,1/1/13,25/4/17," 46,078 ",2,2,21Jun2023
PA,4058,IN,KBS,Methane avoidance,Manure,KBS_Cert1542698182.72,4/10/19,1/1/17,31/12/17," 50,144 ",2,5,21Jun2023
PA,1885,ID,KBS,Methane avoidance,Composting,KBS_Cert1555403911.76,4/10/19,1/1/18,3/11/18," 9,626 ",2,9,21Jun2023
PA,6560,PK,KFQ,Hydro,Run of river,KFQ1549007174.5,4/10/19,8/11/17,31/10/18," 197,099 ",2,1,21Jun2023
PA,765,KR,KFQ,N2O,Nitric acid,KFQ1559614981.68,4/10/19,17/2/19,26/5/19," 369,774 ",2,41,21Jun2023
PA,6637,KR,KFQ,N2O,Nitric acid,KFQ1559638569.83,4/10/19,17/2/19,26/5/19," 68,705 ",2,15,21Jun2023
PA,7841,ZA,TUV NORD,Solar,Solar thermal power,RWTUV1553587020.87,4/10/19,1/5/18,28/2/19," 152,954 ",2,3,21Jun2023
PA,4714,VN,TUV NORD,Hydro,Existing dam,RWTUV1557383016.92,4/10/19,1/5/18,30/9/18," 15,460 ",2,5,21Jun2023
PA,4714,VN,TUV NORD,Hydro,Existing dam,RWTUV1557383162.02,4/10/19,1/10/18,30/4/19," 27,404 ",2,6,21Jun2023
PoA,9507,IN,KBS,Methane avoidance,Domestic manure,poaiss295642756~IN,26/9/19,28/2/17,27/2/18," 39,959 ",2,4,21Jun2023
PoA,9181,IN,KBS,EE households,Appliances,poaiss635919890~IN,26/9/19,21/6/18,26/12/18," 30,645 ",2,8,21Jun2023
PA,7379,IN,LGAI,Solar,Solar thermal power,Applus1557136046.59,24/9/19,1/1/18,1/5/19," 101,030 ",2,3,21Jun2023
PA,5947,BR,RINA,Landfill gas,Landfill flaring,RINA1552322013.4,20/9/19,1/3/18,28/2/19," 648,810 ",2,6,21Jun2023
PoA,9981,MZ,EPIC,EE households,Stoves,poaiss570206564~MZ,13/9/19,12/7/16,30/11/16, 788 ,2,1,21Jun2023
PoA,9981,MZ,EPIC,EE households,Stoves,poaiss41294987~MZ,13/9/19,1/12/16,31/12/17," 7,592 ",2,2,21Jun2023
PA,5415,NP,KBS,Methane avoidance,Domestic manure,KBS_Cert1549604877.79,13/9/19,1/8/17,12/12/18," 74,622 ",2,7,21Jun2023
PA,5416,NP,KBS,Methane avoidance,Domestic manure,KBS_Cert1549604935.98,13/9/19,1/8/17,12/12/18," 72,786 ",2,7,21Jun2023
PA,7980,PH,LGAI,Wind,Wind,Applus1525341614.79,12/9/19,11/11/14,25/3/18," 629,955 ",2,1,21Jun2023
PA,2819,IN,BVCH,Wind,Wind,BVQI1550838873.07,12/9/19,1/5/17,30/4/18," 70,601 ",2,8,21Jun2023
PA,6038,CN,CTI,Wind,Wind,CTI1557482632.84,12/9/19,1/6/16,31/12/17," 148,691 ",2,1,21Jun2023
PA,822,CL,EPIC,Landfill gas,Landfill power,EPIC_Sust1557499656.15,12/9/19,1/1/18,30/4/19," 861,753 ",2,14,21Jun2023
PA,2585,MX,ERM CVS,N2O,Nitric acid,ERM-CVS1546617177.19,12/9/19,17/10/16,22/9/18," 196,382 ",2,8,21Jun2023
PA,1428,CO,Earthood,N2O,Nitric acid,ESPL1554448513.03,12/9/19,30/3/12,31/12/12," 72,013 ",1,5,21Jun2023
PA,1428,CO,Earthood,N2O,Nitric acid,ESPL1554448513.03,12/9/19,1/1/13,13/2/15," 121,170 ",2,5,21Jun2023
PA,139,NP,KBS,Methane avoidance,Domestic manure,KBS_Cert1549604818.32,12/9/19,1/8/17,31/7/18," 20,406 ",2,9,21Jun2023
PA,8505,CN,CTI,Wind,Wind,CTI1557481563.11,5/9/19,1/6/16,31/12/17," 130,817 ",2,1,21Jun2023
PA,165,BR,EPIC,Landfill gas,Landfill flaring,EPIC_Sust1547200318.65,5/9/19,1/7/18,30/9/18," 98,095 ",2,24,21Jun2023
PA,349,KR,KFQ,Tidal,Tidal,KFQ1554772518.86,5/9/19,1/7/18,31/12/18," 124,388 ",2,14,21Jun2023
PoA,5962,KH,Earthood,EE service,Water purification,poaiss717642885~KH,4/9/19,1/6/16,31/12/17," 11,087 ",2,4,21Jun2023
PA,7871,IN,LGAI,Wind,Wind,Applus1544870763.61,4/9/19,1/1/13,1/11/18," 29,742 ",2,1,21Jun2023
PoA,9181,IN,Earthood,EE households,Appliances,poaiss815513746~IN,2/9/19,21/6/18,26/12/18," 47,029 ",2,8,21Jun2023
PA,165,BR,EPIC,Landfill gas,Landfill flaring,EPIC_Sust1544145680.99,2/9/19,1/1/18,30/6/18," 237,837 ",2,23,21Jun2023
PA,2170,CN,LGAI,Wind,Wind,Applus1542977737.42,29/8/19,1/10/16,30/9/18," 893,455 ",2,8,21Jun2023
PA,5482,LS,Carbon Check,EE households,Stoves,CarbonCheck_Cert1553579497.56,29/8/19,1/12/17,30/11/18," 28,654 ",2,7,21Jun2023
PA,8054,VN,EPIC,Hydro,Run of river,EPIC_Sust1552974182.09,29/8/19,1/3/18,28/2/19," 40,739 ",2,6,21Jun2023
PA,5082,TH,JQA,Solar,Solar PV,JQA1554084676.65,29/8/19,1/1/18,31/12/18," 63,275 ",2,6,21Jun2023
PA,6397,VN,TUV NORD,Hydro,Run of river,RWTUV1554371113.05,29/8/19,1/3/18,28/2/19," 17,418 ",2,4,21Jun2023
PA,8153,CN,CTI,Wind,Wind,CTI1557483055.73,27/8/19,1/6/16,31/12/17," 146,540 ",2,1,21Jun2023
PoA,9181,IN,KBS,EE households,Appliances,poaiss893004320~IN,26/8/19,21/6/18,26/12/18," 34,080 ",2,8,21Jun2023
PA,6549,KE,Carbon Check,Methane avoidance,Domestic manure,CarbonCheck_Cert1551423133.48,23/8/19,31/12/16,30/12/18," 6,746 ",2,3,21Jun2023
