PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PA,7017,BR,Earthood,Wind,Wind,ESPL1666004107.09,27/4/23,1/11/13,31/10/20," 329,700 ",2,1,21Jun2023
PA,7021,BR,Earthood,Wind,Wind,ESPL1666004229.86,27/4/23,1/11/13,31/10/20," 378,020 ",2,1,21Jun2023
PA,7026,BR,Earthood,Wind,Wind,ESPL1666004408.79,27/4/23,1/11/13,31/10/20," 273,653 ",2,1,21Jun2023
PA,7023,BR,Earthood,Wind,Wind,ESPL1666198354.93,27/4/23,1/11/13,31/10/20," 310,683 ",2,1,21Jun2023
PA,2417,CL,KBS,Hydro,Run of river,KBS_Cert1653019510.57,27/4/23,1/7/14,3/8/16," 192,082 ",2,7,21Jun2023
PA,9822,AR,AENOR,Biomass Energy,Forest residues: other,AENOR1637594996.96,25/4/23,14/4/16,31/12/20," 362,778 ",2,1,21Jun2023
PA,8179,CN,CTI,Wind,Wind,CTI1657247744.91,25/4/23,1/1/13,31/12/19," 512,554 ",2,1,21Jun2023
PA,7853,CN,CTI,Landfill gas,Combustion of MSW,CTI1661771731.11,25/4/23,1/1/18,31/12/20," 514,997 ",2,2,21Jun2023
PA,751,LK,KBS,Hydro,Run of river,KBS_Cert1635225375.64,25/4/23,1/1/13,31/12/17," 30,960 ",2,4,21Jun2023
PA,751,LK,KBS,Hydro,Run of river,KBS_Cert1635225375.64,25/4/23,1/1/11,31/12/12," 8,891 ",1,4,21Jun2023
PoA,8438,GH,Carbon Check,EE households,Stoves,poaiss188546015~GH,20/4/23,1/7/19,30/6/20," 139,312 ",2,7,21Jun2023
PoA,8438,GH,Carbon Check,EE households,Stoves,poaiss663500060~GH,20/4/23,1/7/18,30/6/19," 202,210 ",2,6,21Jun2023
